strategy,symbol,trades,exposure,full_ann_pct,oos_sharpe,oos_hold_sharpe,oos_sharpe_gap,is_excess_ann_pct,is_t,is_p,oos_excess_ann_pct,oos_t,oos_p,bonferroni_alpha,bonferroni_t_bar,beats_bonferroni,beats_fdr
Trend strength gated,SPY,56.0,0.23937947494033412,-12.449616730699105,0.30324537281486375,0.8195964811093545,-0.5163511082944907,-11.616020430080921,-2.7068764840454453,0.00679195220462625,-13.702003048533468,-1.9927322943736108,0.046290769106039686,0.00014367816091954023,3.8017491435230113,False,False
Turn of month,KO,200.0,0.2863961813842482,-9.262979720301756,-0.10646679478978602,0.5980152216433454,-0.7044820164331315,-6.57339283628384,-1.6400982922668284,0.10098473145193498,-13.303786777234288,-1.9822389604700763,0.04745250205478868,0.00014367816091954023,3.8017491435230113,False,False
Time-series momentum,AAPL,36.5,0.7847255369928401,-10.124387369224838,0.6856900029902516,0.87676848310913,-0.1910784801188784,-12.254057785649916,-2.6186307662087223,0.008828344756244721,-6.924792926387879,-1.9784826683851096,0.04787428190234655,0.00014367816091954023,3.8017491435230113,False,False
Absolute momentum with trend filter,JNJ,83.5,0.649164677804296,-9.10928304149246,0.24816321411024073,0.6971368036331438,-0.44897358952290306,-8.453447234759647,-2.7040056783602098,0.006850911841641771,-10.09460386224098,-1.9687461503170645,0.04898224882043456,0.00014367816091954023,3.8017491435230113,False,False
Keltner breakout,GLD,62.5,0.2744630071599045,-5.253359147147087,0.5582067432233107,0.9492956056479085,-0.39108886242459784,-1.448649490205129,-0.34594741426544906,0.7293822346484968,-10.969514934010302,-1.9654223597714031,0.049365373655512634,0.00014367816091954023,3.8017491435230113,False,False
RSI mean reversion,JPM,23.0,0.13747016706443915,-12.548421308868196,0.19891999348504594,0.7018389436765345,-0.5029189501914886,-9.288663908123416,-1.385275057554501,0.16596837750161852,-17.445846555506858,-1.9611438965083818,0.04986223931032363,0.00014367816091954023,3.8017491435230113,False,False
Adaptive channel,JNJ,189.0,0.07279236276849642,-12.939716646954386,-0.23094116099362058,0.6971368036331438,-0.9280779646267644,-11.757633725583498,-2.5304628833349017,0.011391213645744358,-14.715665599910055,-1.9604695741408038,0.04994093083525608,0.00014367816091954023,3.8017491435230113,False,False
Faber TAA,JNJ,84.5,0.7031026252983293,-7.607992111127358,0.2653954684807053,0.6971368036331438,-0.4317413351524385,-6.183162348504372,-2.105494984441308,0.035248243453585903,-9.748641366203112,-1.9574825284989767,0.05029076394648779,0.00014367816091954023,3.8017491435230113,False,False
Gap fade,JPM,698.0,0.19928400954653938,-22.81905321583376,-0.1962030780347783,0.7018389436765345,-0.8980420217113129,-20.904333722041997,-2.408097451637679,0.016035899898413142,-25.695707652444437,-1.9492410357793795,0.05126664650678303,0.00014367816091954023,3.8017491435230113,False,False
Price vs moving average,JNJ,82.5,0.7016706443914081,-7.67256156553381,0.26791914751621,0.6971368036331438,-0.4292176561169338,-6.31061414368901,-2.126633222242004,0.033450569887075066,-9.718737052952967,-1.9481943823776318,0.051391708747219766,0.00014367816091954023,3.8017491435230113,False,False
Bollinger reversion,SPY,76.0,0.17589498806682577,-8.432395087784531,0.4227804340141781,0.8195964811093545,-0.39681604709517637,-7.241845526308629,-2.047982388042954,0.0405617251315773,-10.22106423181792,-1.9201220502980516,0.05484248465960784,0.00014367816091954023,3.8017491435230113,False,False
Gap fade,AAPL,690.0,0.19713603818615752,-32.53946321994105,-0.013879418563776467,0.87676848310913,-0.8906479016729065,-35.69890369434651,-3.8643623172025428,0.00011137979299635781,-27.79275306872852,-1.9129587812406916,0.0557533294481245,0.00014367816091954023,3.8017491435230113,False,False
Turn of month,QQQ,200.0,0.2863961813842482,-13.837421318036236,0.4792789034352567,0.8819074032771961,-0.4026284998419394,-12.687550583499007,-2.7663055704972304,0.0056695381851974425,-15.564975020163551,-1.9082540855427865,0.05635838422466133,0.00014367816091954023,3.8017491435230113,False,False
Bollinger reversion,JNJ,71.0,0.21933174224343677,-8.821633689171037,0.20586972812456547,0.6971368036331438,-0.4912670755085783,-7.300171315320273,-1.8053688640776302,0.07101698005436363,-11.107462763385296,-1.9038048067683484,0.05693561028944538,0.00014367816091954023,3.8017491435230113,False,False
Z-score mean reversion,KO,77.0,0.1515513126491647,-7.661022370483011,-0.0320735154579042,0.5980152216433454,-0.6300887371012496,-4.450038886084476,-1.052703446154613,0.2924769287436113,-12.485170197999327,-1.8964277670235452,0.05790350308548886,0.00014367816091954023,3.8017491435230113,False,False
Gap fade,KO,234.0,0.062291169451073984,-13.757896597189992,-0.38901044005703894,0.5980152216433454,-0.9870256617003843,-11.335148983016625,-2.3331758875121604,0.019638915827876247,-17.39780714058666,-1.8918319193369073,0.058513378983957365,0.00014367816091954023,3.8017491435230113,False,False
Volatility breakout,JPM,121.0,0.4866348448687351,-12.131947404051315,0.17544196841512857,0.7018389436765345,-0.5263969752614059,-7.89573302074653,-1.2095459140550517,0.2264531827581444,-18.496391355073733,-1.8883498813693362,0.05897899493984804,0.00014367816091954023,3.8017491435230113,False,False
MACD trend,QQQ,164.0,0.5155131264916468,-11.636518483777682,0.4996999842664253,0.8819074032771961,-0.38220741901077077,-9.700108911133341,-2.1739968979326156,0.029705368168112756,-14.545759866812634,-1.8853765021972877,0.059379024158723315,0.00014367816091954023,3.8017491435230113,False,False
VWAP reversion,XOM,80.0,0.22505966587112172,-8.304905875962639,0.1680070623004697,0.6889250736096219,-0.5209180113091522,-1.1515416124973035,-0.24557772990981822,0.8060091303365922,-19.052045136784216,-1.8843373055624748,0.059519364322282,0.00014367816091954023,3.8017491435230113,False,False
Walk-forward logistic,XOM,147.0,0.0711217183770883,-13.064103785887415,0.09705262013877256,0.6889250736096219,-0.5918724534708493,-7.894511555619038,-1.4218468794228654,0.15507070699907732,-20.830844800896347,-1.8792582670312843,0.0602092370870031,0.00014367816091954023,3.8017491435230113,False,False
Stochastic reversion,GLD,81.0,0.4957040572792363,-7.524334793756572,0.6155501155505,0.9492956056479085,-0.3337454900974085,-5.954496648054154,-1.7013093094496408,0.08888492077937737,-9.882843118990493,-1.8609783642417186,0.062747232109571,0.00014367816091954023,3.8017491435230113,False,False
Buy the dip,MSFT,106.5,0.4625298329355609,-9.16668327969046,0.43593736430892666,0.758518520439947,-0.3225811561310204,-7.266096951306642,-1.4831370875068195,0.13803799208605705,-12.022104197184671,-1.8505601379393049,0.0642328588703438,0.00014367816091954023,3.8017491435230113,False,False
52-week high,KO,140.0,0.21503579952267304,-13.58757632057442,-0.21274647129756483,0.5980152216433454,-0.8107616929409103,-13.511743919756686,-3.2548862570279744,0.0011343778767602952,-13.701506122280877,-1.8456670392895451,0.06494056588812858,0.00014367816091954023,3.8017491435230113,False,False
Z-score mean reversion,AAPL,66.0,0.14343675417661098,-19.753881809740392,0.5262566546470615,0.87676848310913,-0.3505118284620685,-20.40641556395976,-2.8570645835079787,0.0042757882829480565,-18.773521957971138,-1.8388925489735026,0.06593099195201413,0.00014367816091954023,3.8017491435230113,False,False
Buy the dip,SPY,63.0,0.24916467780429594,-7.986462770674568,0.49215741610558106,0.8195964811093545,-0.3274390650037734,-7.649302092311267,-2.37969786677272,0.01732683797005996,-8.493009429028037,-1.8375849490043004,0.0661235883156912,0.00014367816091954023,3.8017491435230113,False,False
Price vs moving average,GLD,69.0,0.5909307875894988,-3.457671996949404,0.7015356917809341,0.9492956056479085,-0.24775991386697438,-1.769103615159735,-0.4928309823246038,0.6221320171829472,-5.9945593805820305,-1.836562728707409,0.06627447376095619,0.00014367816091954023,3.8017491435230113,False,False
