strategy,symbol,sessions,trades,trades_per_session,win_rate,expectancy_pct,expectancy_bps,gross_bps,cost_bps,payoff_ratio,profit_factor,t_stat,p_value,kelly,suggested_size,stdev_pct,trades_needed,avg_bars_held,bonferroni_t_bar,clears_bar
Buy and hold,MSFT,382,382,1.0,0.49476439790575916,-0.04240851874265303,-4.240851874265303,-0.2408518742653036,4.0,0.8915580390545134,0.8730801522347308,-0.922214063384808,0.35641692888565024,0.0,0.0,0.8987792642907242,,59.725130890052355,3.5248461468124797,False
Buy and hold,ALL,3056,3056,1.0,0.512434554973822,0.0049028069241461095,0.4902806924146109,3.7165306924146115,,0.9628350544106445,1.0119461041658184,0.19915031605607486,0.8421451629055983,0.0060493306379475476,0.0015123326594868869,1.3609446595853392,604099.0,59.74181937172775,3.5248461468124797,False
Buy the dip,SPY,382,1,0.002617801047120419,0.0,-0.012865497708953533,-1.2865497708953533,0.30345022910464703,1.59,0.0,0.0,,,0.0,0.0,0.0,,10.0,3.5248461468124797,False
Buy the dip,QQQ,382,1,0.002617801047120419,1.0,0.05107174174896519,5.107174174896519,7.227174174896519,2.12,0.0,,,,0.0,0.0,0.0,,10.0,3.5248461468124797,False
Buy the dip,IWM,382,1,0.002617801047120419,1.0,0.516573562698047,51.6573562698047,53.7573562698047,2.1,0.0,,,,0.0,0.0,0.0,,20.0,3.5248461468124797,False
Buy the dip,AAPL,382,1,0.002617801047120419,0.0,-1.9596527932339132,-195.96527932339131,-191.96527932339131,4.0,0.0,0.0,,,0.0,0.0,0.0,,20.0,3.5248461468124797,False
Buy the dip,NVDA,382,5,0.013089005235602094,0.8,1.2747236613347404,127.47236613347404,131.47236613347403,4.0,184.13687821872708,736.5475128749083,1.75739731257972,0.07885011107972106,0.7989138514678064,0.1997284628669516,1.6219262080740209,13.0,8.6,3.5248461468124797,False
Buy the dip,AMD,382,26,0.06806282722513089,0.5,0.03560702084508573,3.5607020845085726,7.560702084508578,4.0,1.0885192883466597,1.0885192883466595,0.16792405033525992,0.8666430293566796,0.0406604133221703,0.010165103330542574,1.0812084019383246,7229.0,7.5,3.5248461468124797,False
Buy the dip,TSLA,382,12,0.031413612565445025,0.4166666666666667,-0.07699977294141404,-7.699977294141404,-3.6999772941414077,4.0,1.1999032550488555,0.8570737536063253,-0.2028256276001808,0.8392713263160947,0.0,0.0,1.3150953406015984,,10.083333333333334,3.5248461468124797,False
Buy the dip,ALL,2674,47,0.017576664173522813,0.5106382978723404,0.10575596993304484,10.575596993304485,14.443894865644912,,1.2103053844040532,1.262927357639012,0.5852972522209547,0.5583478621454447,0.10630918520907795,0.026577296302269487,1.238731941829875,1076.0,8.914893617021276,3.5248461468124797,False
Day of week,SPY,382,72,0.18848167539267016,0.5416666666666666,0.06283176968479921,6.283176968479921,7.873176968479919,1.59,1.2237126086684489,1.4462058102445305,1.1122988147586719,0.2660096933228995,0.16712338739780552,0.04178084684945138,0.47931836116587734,457.0,60.0,3.5248461468124797,False
Day of week,QQQ,382,72,0.18848167539267016,0.5694444444444444,0.09100005415519881,9.100005415519881,11.220005415519882,2.12,1.1671237624543527,1.5436152987299503,1.3405001471579252,0.18008279651375814,0.20054136029325098,0.050135340073312745,0.5760246026193393,315.0,60.0,3.5248461468124797,False
Day of week,IWM,382,72,0.18848167539267016,0.5138888888888888,0.07070307684929539,7.0703076849295385,9.17030768492954,2.1,1.2635096564266728,1.3357102082224828,0.8826721883085026,0.377413412895788,0.12915806499801308,0.03228951624950327,0.6796809835374591,725.0,60.0,3.5248461468124797,False
Day of week,AAPL,382,72,0.18848167539267016,0.4722222222222222,-0.03661382415928681,-3.661382415928681,0.33861758407132003,4.0,1.0000584052457706,0.8947890994304263,-0.3274699164277261,0.7433124929504993,0.0,0.0,0.9487240952315402,,60.0,3.5248461468124797,False
Day of week,NVDA,382,72,0.18848167539267016,0.5694444444444444,0.19526530893565003,19.526530893565003,23.526530893565003,4.0,1.2224786819951876,1.6168266439291192,1.4088818058192005,0.1588701202943894,0.21724561930595376,0.05431140482648844,1.1760256127256965,285.0,60.0,3.5248461468124797,False
Day of week,AMD,382,72,0.18848167539267016,0.5277777777777778,-0.02301599069095692,-2.3015990690956922,1.6984009309043067,4.0,0.8579072023536586,0.9588374614540888,-0.12715565196859283,0.898817204986414,0.0,0.0,1.5358904940211626,,60.0,3.5248461468124797,False
Day of week,TSLA,382,72,0.18848167539267016,0.5694444444444444,0.30549597835518205,30.549597835518206,34.549597835518206,4.0,1.2645733186147665,1.6725001955872718,1.526320730242157,0.12693000839003288,0.22896948010849522,0.057242370027123804,1.698345101183779,243.0,60.0,3.5248461468124797,False
Day of week,MSFT,382,72,0.18848167539267016,0.5416666666666666,0.03351924263488241,3.351924263488241,7.351924263488238,4.0,0.946397629842098,1.1184699261770248,0.3605395153458502,0.7184437117431153,0.05737410413161026,0.014343526032902565,0.7888738767941119,4343.0,59.97222222222222,3.5248461468124797,False
Day of week,ALL,3056,576,0.18848167539267016,0.5381944444444444,0.0873982019705955,8.73982019705955,11.96607019705955,,1.1000037620318197,1.2819592715408423,1.9611737556834394,0.04985875723371791,0.11837264792390034,0.029593161980975086,1.0695415646959467,1175.0,59.99652777777778,3.5248461468124797,False
