strategy,symbol,sessions,trades,trades_per_session,win_rate,expectancy_pct,expectancy_bps,gross_bps,cost_bps,payoff_ratio,profit_factor,t_stat,p_value,kelly,suggested_size,stdev_pct,trades_needed,avg_bars_held,bonferroni_t_bar,clears_bar
Buy and hold,NVDA,209,209,1.0,0.5454545454545454,0.08003002798768194,8.003002798768193,12.003002798768195,4.0,0.9746109326184659,1.169533119142159,0.671376567513816,0.5019806686340402,0.07906797073776356,0.01976699268444089,1.7232962083418795,3636.0,59.54066985645933,3.3840362518645586,False
Buy and hold,ALL,1741,1741,1.0,0.5169442848937392,-0.002318500416624811,-0.23185004166248108,2.40642106689582,,0.927655524015406,0.992734805723978,-0.08982907695219924,0.928423041525299,0.0,0.0,1.0769353351593658,,59.724296381390005,3.3840362518645586,False
Buy the dip,SPY,383,1,0.0026109660574412533,0.0,-0.07358822047021467,-7.358822047021467,-5.768822047021467,1.59,0.0,0.0,,,0.0,0.0,0.0,,10.0,3.3840362518645586,False
Buy the dip,QQQ,383,1,0.0026109660574412533,1.0,0.06806293697728283,6.806293697728282,8.926293697728283,2.12,0.0,,,,0.0,0.0,0.0,,10.0,3.3840362518645586,False
Buy the dip,IWM,383,1,0.0026109660574412533,1.0,0.6015592846227824,60.15592846227824,62.25592846227824,2.1,0.0,,,,0.0,0.0,0.0,,20.0,3.3840362518645586,False
Buy the dip,AAPL,383,1,0.0026109660574412533,0.0,-2.0657315141578962,-206.57315141578962,-202.57315141578962,4.0,0.0,0.0,,,0.0,0.0,0.0,,20.0,3.3840362518645586,False
Buy the dip,NVDA,209,3,0.014354066985645933,1.0,2.058679533334694,205.8679533334694,209.8679533334694,4.0,0.0,,2.0208141809037268,0.04329900428643452,0.0,0.0,1.7645054067481083,6.0,11.333333333333334,3.3840362518645586,False
Buy the dip,ALL,1741,7,0.00402067777139575,0.7142857142857143,0.6723344409965766,67.23344409965766,70.34915838537194,,1.279969648444189,3.199924121110472,0.964318900511899,0.33488606784300057,0.4910661355546302,0.12276653388865755,1.8446488270594898,60.0,13.428571428571429,3.3840362518645586,False
Day of week,SPY,383,73,0.1906005221932115,0.5342465753424658,0.056518773393566465,5.651877339356647,7.241877339356647,1.59,1.2119411792402572,1.3901678232461772,1.0014046663913825,0.3166312090033494,0.14994292048232966,0.037485730120582414,0.48221925437548585,571.0,60.0,3.3840362518645586,False
Day of week,QQQ,383,73,0.1906005221932115,0.5616438356164384,0.08194721447086925,8.194721447086925,10.314721447086924,2.12,1.1505063013594692,1.4740861986168199,1.217964613232757,0.2232374204188674,0.180632307156674,0.0451580767891685,0.5748584973245388,386.0,60.0,3.3840362518645586,False
