label,n,mean_R,median_R,win_rate,t_R,p_R,mean_ret_pct,t_ret,p_ret,breakeven_bps,median_risk_pct,mean_bars_held,target_rate,stop_rate,eod_rate,n_symbols,t_R_symclust
K9_band70_imp2,536,-0.03900588994883948,-0.6385246504789823,0.39738805970149255,-0.7840129152613396,0.43303253203457404,-0.004393372125666366,-0.2409591649452371,0.8095867657585036,-0.4393372125666366,0.2510882533456756,7.7033582089552235,0.17164179104477612,0.4925373134328358,0.3358208955223881,10,-1.3146701958021985
K9_band70_imp3,28,-0.018333798846131844,-1.0,0.35714285714285715,-0.07413127087387718,0.9409059331494256,-0.051011752498463604,-0.47952030977742294,0.6315685232461599,-5.10117524984636,0.27760056375203473,5.321428571428571,0.25,0.5714285714285714,0.17857142857142858,9,0.09891420235674428
K9_band80_imp1.5,1682,0.001494244423075864,-0.7265483992535707,0.4054696789536266,0.05126057828253889,0.9591178807563039,0.013173959493777511,1.0947870021041495,0.27360996213699584,1.3173959493777512,0.2472710948928743,8.692627824019025,0.19500594530321047,0.495243757431629,0.3097502972651605,10,-0.011283107582579123
K9_band80_imp2,438,-0.0364178582697991,-0.5188593904965626,0.3972602739726027,-0.6685255868034902,0.5037981547326686,-0.009683130449552269,-0.44489967770921357,0.6563922555619184,-0.9683130449552269,0.25603013994547397,7.678082191780822,0.16210045662100456,0.4794520547945205,0.3584474885844749,10,-0.751109972005434
K9_band80_imp3,28,0.06529349812121886,-1.0,0.39285714285714285,0.2632749989779187,0.7923386280645381,-0.017761494791003744,-0.1659333875682473,0.8682093722271669,-1.7761494791003745,0.24888032017673184,6.0,0.25,0.5357142857142857,0.21428571428571427,8,-0.005649441491413688
K9_band90_imp1.5,783,0.041439622381459686,-0.5585536976645793,0.41762452107279696,0.9578210115681142,0.3381530220938638,0.029368788816350844,1.6792910114980806,0.09309534192190227,2.9368788816350846,0.2629789665652191,9.385696040868455,0.20306513409961685,0.4827586206896552,0.31417624521072796,10,0.9842680346577461
K9_band90_imp2,231,0.05866514549031776,-0.43264528507170585,0.42857142857142855,0.735444923037482,0.4620685713164838,0.010642207992480784,0.3487400789614842,0.727284452324247,1.0642207992480783,0.26202574115905847,8.991341991341992,0.2077922077922078,0.4675324675324675,0.3246753246753247,10,0.6100065657235487
K9_band90_imp3,20,-0.1951512036347785,-1.0,0.3,-0.7132861510135904,0.47566870543041806,-0.04647462800603998,-0.774188054072583,0.43881959158766737,-4.647462800603998,0.13818476092306006,5.9,0.2,0.6,0.2,7,-2.3788062831367056
K14_band70_imp1.5,1872,0.007779236449422134,-0.8574515021952818,0.40865384615384615,0.27996025989672196,0.7795079941653644,0.010370168259004746,0.9515261658361285,0.3413373423037318,1.0370168259004746,0.24904337323876546,8.952457264957266,0.19925213675213677,0.49786324786324787,0.30288461538461536,10,0.12463954736388723
K14_band70_imp2,453,0.004881743815861829,-0.4300686048599954,0.423841059602649,0.09010162390167788,0.9282064587836227,0.0038829804057827827,0.1963779942738183,0.8443143189380447,0.38829804057827827,0.2573565940923361,7.818984547461369,0.16997792494481237,0.47240618101545256,0.3576158940397351,10,-0.3955068357077195
