round_trip_bps,n,mean_pct,total_pct,win_rate,t,p,spec
20,1421,0.010924375893843943,15.523538145152244,0.4032371569317382,0.1988671038945099,0.8423667028070152,TSLA|OR5|touch|or|3R|long_short
0,1378,0.20971057499860937,288.9811723480837,0.5065312046444121,3.723652217830861,0.0001963613783264595,TSLA|OR30|touch|or|3R|long_short
1,1378,0.19971057499860942,275.2011723480838,0.5050798258345428,3.546090727769831,0.00039099156661137613,TSLA|OR30|touch|or|3R|long_short
2,1378,0.1897105749986094,261.42117234808376,0.5043541364296081,3.3685292377088003,0.000755703814131925,TSLA|OR30|touch|or|3R|long_short
3,1378,0.1797105749986094,247.64117234808376,0.502177068214804,3.190967747647769,0.0014179710825084069,TSLA|OR30|touch|or|3R|long_short
5,1378,0.1597105749986094,220.08117234808375,0.49782293178519593,2.835844767525708,0.004570465483607844,TSLA|OR30|touch|or|3R|long_short
8,1378,0.12971057499860936,178.7411723480837,0.4949201741654572,2.303160297342615,0.021269825747950888,TSLA|OR30|touch|or|3R|long_short
10,1378,0.10971057499860935,151.1811723480837,0.4898403483309144,1.9480373172205536,0.05141049812504006,TSLA|OR30|touch|or|3R|long_short
20,1378,0.009710574998609353,13.381172348083687,0.4695210449927431,0.17242241661024676,0.8631054501800892,TSLA|OR30|touch|or|3R|long_short
0,1421,0.18276735430653457,259.7124104695856,0.44475721323011963,3.67014652546247,0.00024241147269243868,TSLA|OR5|touch|or|2R|long_short
1,1421,0.17276735430653462,245.50241046958567,0.44475721323011963,3.469336783515506,0.000521744974960825,TSLA|OR5|touch|or|2R|long_short
2,1421,0.16276735430653458,231.29241046958563,0.44405348346235046,3.2685270415685403,0.0010810884633620788,TSLA|OR5|touch|or|2R|long_short
3,1421,0.1527673543065346,217.08241046958568,0.4433497536945813,3.067717299621576,0.002157005707263515,TSLA|OR5|touch|or|2R|long_short
5,1421,0.13276735430653458,188.66241046958564,0.4426460239268121,2.6660978157276456,0.007673736207869819,TSLA|OR5|touch|or|2R|long_short
8,1421,0.10276735430653453,146.03241046958556,0.44053483462350457,2.0636685898867504,0.03904914941979798,TSLA|OR5|touch|or|2R|long_short
10,1421,0.08276735430653454,117.61241046958557,0.4370161857846587,1.6620491059928209,0.09650292885995171,TSLA|OR5|touch|or|2R|long_short
20,1421,-0.017232645693465456,-24.487589530414414,0.4250527797325827,-0.34604831347682735,0.7293064062026304,TSLA|OR5|touch|or|2R|long_short
0,1378,0.20652686146042357,284.5940150924637,0.5065312046444121,3.6529203273270574,0.00025927469703512784,TSLA|OR30|touch|or|eod|long_short
1,1378,0.19652686146042359,270.8140150924637,0.5050798258345428,3.476046466876365,0.0005088641100363667,TSLA|OR30|touch|or|eod|long_short
2,1378,0.18652686146042358,257.0340150924637,0.5043541364296081,3.2991726064256715,0.0009697026644093221,TSLA|OR30|touch|or|eod|long_short
3,1378,0.1765268614604236,243.2540150924637,0.502177068214804,3.122298745974979,0.0017944474607081151,TSLA|OR30|touch|or|eod|long_short
5,1378,0.15652686146042358,215.6940150924637,0.49782293178519593,2.7685510250735925,0.005630616808929956,TSLA|OR30|touch|or|eod|long_short
8,1378,0.12652686146042352,174.3540150924636,0.4949201741654572,2.2379294437215123,0.025225656598481416,TSLA|OR30|touch|or|eod|long_short
10,1378,0.10652686146042352,146.7940150924636,0.4898403483309144,1.884181722820126,0.05954039893670782,TSLA|OR30|touch|or|eod|long_short
20,1378,0.006526861460423532,8.994015092463627,0.4695210449927431,0.11544311831319584,0.9080939039287568,TSLA|OR30|touch|or|eod|long_short
0,1414,0.21316826711933715,301.4199297067427,0.45756718528995755,3.5282541413417006,0.00041831033262806905,TSLA|OR5|close|or|eod|long_short
1,1414,0.2031682671193372,287.2799297067428,0.45615275813295614,3.36273916160194,0.000771732452264029,TSLA|OR5|close|or|eod|long_short
2,1414,0.19316826711933713,273.1399297067427,0.45544554455445546,3.1972241818621785,0.0013875704070493988,TSLA|OR5|close|or|eod|long_short
3,1414,0.18316826711933712,258.9999297067427,0.45544554455445546,3.0317092021224177,0.0024317334785983746,TSLA|OR5|close|or|eod|long_short
5,1414,0.16316826711933718,230.7199297067428,0.4533239038189533,2.700679242642897,0.006919803893990828,TSLA|OR5|close|or|eod|long_short
8,1414,0.1331682671193371,188.29992970674266,0.44837340876944837,2.204134303423613,0.027514900326549796,TSLA|OR5|close|or|eod|long_short
10,1414,0.1131682671193371,160.01992970674266,0.44625176803394623,1.8731043439440918,0.061053977634745404,TSLA|OR5|close|or|eod|long_short
20,1414,0.01316826711933711,18.619929706742674,0.4349363507779349,0.217954546546484,0.8274645266008511,TSLA|OR5|close|or|eod|long_short
0,1378,0.19199074274922479,264.56324350843175,0.5065312046444121,3.5103656253559232,0.00044749091907170246,TSLA|OR30|touch|or|2R|long_short
1,1378,0.1819907427492249,250.7832435084319,0.5050798258345428,3.327525266748578,0.0008762104292716622,TSLA|OR30|touch|or|2R|long_short
2,1378,0.17199074274922482,237.0032435084318,0.5043541364296081,3.144684908141229,0.001662658013721341,TSLA|OR30|touch|or|2R|long_short
3,1378,0.16199074274922481,223.2232435084318,0.502177068214804,2.9618445495338817,0.0030580213261153233,TSLA|OR30|touch|or|2R|long_short
5,1378,0.14199074274922485,195.66324350843183,0.49782293178519593,2.5961638323191876,0.00942711032985688,TSLA|OR30|touch|or|2R|long_short
8,1378,0.11199074274922478,154.32324350843174,0.4949201741654572,2.0476427564971447,0.04059501662256104,TSLA|OR30|touch|or|2R|long_short
10,1378,0.09199074274922477,126.76324350843173,0.4898403483309144,1.6819620392824495,0.09257620116926368,TSLA|OR30|touch|or|2R|long_short
20,1378,-0.008009257250775241,-11.036756491568283,0.4695210449927431,-0.1464415467910242,0.8835728312168525,TSLA|OR30|touch|or|2R|long_short
0,690,0.3032266169201132,209.2263656748781,0.43043478260869567,3.4880723634281248,0.0004865163868061906,TSLA|OR5|touch|or|eod|long_only
1,690,0.29322661692011326,202.32636567487816,0.43043478260869567,3.3730404972002646,0.0007434301752418104,TSLA|OR5|touch|or|eod|long_only
