symbol,level,horizon,date,entry,fwd_pct,bars_avail,outcome,resume,episode_id,touch_before_resume
AAPL,0.786,5,2015-12-11,25.44930648803711,-6.3173932601381155,5,fail,False,AAPL_224,True
AAPL,0.786,10,2015-12-11,25.44930648803711,-5.61938956285376,10,fail,False,AAPL_224,True
AAPL,0.236,5,2015-12-14,25.29190444946289,-4.578589138870937,5,fail,False,AAPL_234,True
AAPL,0.236,10,2015-12-14,25.29190444946289,-3.325044897370655,10,fail,False,AAPL_234,True
AAPL,0.382,5,2015-12-14,25.29190444946289,-4.578589138870937,5,fail,False,AAPL_234,True
AAPL,0.382,10,2015-12-14,25.29190444946289,-3.325044897370655,10,fail,False,AAPL_234,True
AAPL,0.5,5,2015-12-14,25.29190444946289,-4.578589138870937,5,fail,False,AAPL_234,True
AAPL,0.5,10,2015-12-14,25.29190444946289,-3.325044897370655,10,fail,False,AAPL_234,True
AAPL,0.618,5,2015-12-14,25.29190444946289,-4.578589138870937,5,fail,False,AAPL_234,True
AAPL,0.618,10,2015-12-14,25.29190444946289,-3.325044897370655,10,fail,False,AAPL_234,True
AAPL,0.786,5,2015-12-14,25.29190444946289,-4.578589138870937,5,fail,False,AAPL_234,True
AAPL,0.786,10,2015-12-14,25.29190444946289,-3.325044897370655,10,fail,False,AAPL_234,True
AAPL,0.236,5,2016-01-06,22.64308738708496,-3.2869901265206725,5,fail,False,AAPL_249,True
AAPL,0.236,10,2016-01-06,22.64308738708496,-4.369406087638994,10,fail,False,AAPL_249,True
AAPL,0.382,5,2016-01-06,22.64308738708496,-3.2869901265206725,5,fail,False,AAPL_249,True
AAPL,0.382,10,2016-01-06,22.64308738708496,-4.369406087638994,10,fail,False,AAPL_249,True
AAPL,0.5,5,2016-01-06,22.64308738708496,-3.2869901265206725,5,fail,False,AAPL_249,True
AAPL,0.5,10,2016-01-06,22.64308738708496,-4.369406087638994,10,fail,False,AAPL_249,True
AAPL,0.618,5,2016-01-06,22.64308738708496,-3.2869901265206725,5,fail,False,AAPL_249,True
AAPL,0.618,10,2016-01-06,22.64308738708496,-4.369406087638994,10,fail,False,AAPL_249,True
AAPL,0.786,5,2016-01-06,22.64308738708496,-3.2869901265206725,5,fail,False,AAPL_249,True
AAPL,0.786,10,2016-01-06,22.64308738708496,-4.369406087638994,10,fail,False,AAPL_249,True
AAPL,0.236,5,2016-02-11,21.183422088623047,2.497304662056754,5,resume,True,AAPL_274,True
AAPL,0.236,10,2016-02-11,21.183422088623047,3.4257848804281954,10,resume,True,AAPL_274,True
AAPL,0.382,5,2016-02-11,21.183422088623047,2.497304662056754,5,resume,True,AAPL_274,True
AAPL,0.382,10,2016-02-11,21.183422088623047,3.4257848804281954,10,resume,True,AAPL_274,True
AAPL,0.5,5,2016-02-11,21.183422088623047,2.497304662056754,5,resume,True,AAPL_274,True
AAPL,0.5,10,2016-02-11,21.183422088623047,3.4257848804281954,10,resume,True,AAPL_274,True
AAPL,0.618,5,2016-02-11,21.183422088623047,2.497304662056754,5,resume,True,AAPL_274,True
AAPL,0.618,10,2016-02-11,21.183422088623047,3.4257848804281954,10,resume,True,AAPL_274,True
AAPL,0.786,5,2016-02-11,21.183422088623047,2.497304662056754,5,resume,True,AAPL_274,True
AAPL,0.786,10,2016-02-11,21.183422088623047,3.4257848804281954,10,resume,True,AAPL_274,True
AAPL,0.236,5,2016-02-25,21.87520980834961,4.8987305681185145,5,resume,True,AAPL_283,True
AAPL,0.236,10,2016-02-25,21.87520980834961,4.557660666968344,10,resume,True,AAPL_283,True
AAPL,0.382,5,2016-02-25,21.87520980834961,4.8987305681185145,5,resume,True,AAPL_283,True
AAPL,0.382,10,2016-02-25,21.87520980834961,4.557660666968344,10,resume,True,AAPL_283,True
AAPL,0.5,5,2016-02-25,21.87520980834961,4.8987305681185145,5,resume,True,AAPL_283,True
AAPL,0.5,10,2016-02-25,21.87520980834961,4.557660666968344,10,resume,True,AAPL_283,True
AAPL,0.236,5,2016-04-11,24.64691734313965,-1.412597334346155,5,resume,True,AAPL_314,True
AAPL,0.236,10,2016-04-11,24.64691734313965,-3.6140148612263334,10,resume,True,AAPL_314,True
AAPL,0.382,5,2016-04-11,24.64691734313965,-1.412597334346155,5,resume,True,AAPL_314,True
AAPL,0.382,10,2016-04-11,24.64691734313965,-3.6140148612263334,10,resume,True,AAPL_314,True
AAPL,0.236,5,2016-04-21,23.95738410949707,-10.512413888256166,5,fail,False,AAPL_322,True
AAPL,0.236,10,2016-04-21,23.95738410949707,-11.477123369172194,10,fail,False,AAPL_322,True
