label,n,mean_pct,median_pct,std_pct,win_rate,total_pct,t,p,best,worst,avg_R,median_R,expectancy_R,pct_stopped,pct_target,pct_eod,mean_R_dollars,ma,vwap,fill,stop,target,breakeven_bps,mean_net_1x,mean_net_2x,passes_bonferroni
ema|rth|nextopen|c20|eod,2138,-0.0568056689191397,-1.8763664803620295,15.677054058239676,0.18381665107577175,-121.45052014912068,-0.16754484606342085,0.8669413641295001,604.0722013809601,-10.416666666666663,-0.010248129092608759,-1.0,-0.010248129092608759,0.7811038353601497,0.0,0.21889616463985032,0.1999999999999998,ema,rth,nextopen,c20,eod,-5.68056689191397,-0.5068056689191397,-0.9568056689191398,False
ema|premkt|trigger|c20|3R,1923,-0.05895964541615275,-1.6155088852988664,5.575047142022017,0.29381175247009883,-113.37939813526174,-0.46376285508898857,0.6428176587176853,24.89936506619084,-14.449541284403677,-0.020782111284451635,-1.0,-0.020782111284451635,0.6807072282891315,0.21632865314612584,0.1029641185647426,0.19999999999999973,ema,premkt,trigger,c20,3R,-5.895964541615275,-0.5089596454161528,-0.9589596454161528,False
ema|rth|trigger|atr|trail,1943,-0.05935838778188756,-0.9140148950575577,5.805180607140512,0.3844570252187339,-115.33334746020753,-0.45071577769071,0.6521944094179177,66.05756048600311,-17.972544998860794,-0.009139028081664703,-0.2790764514274772,-0.009139028081664703,0.993309315491508,0.0,0.0066906845084920225,0.4046451253584295,ema,rth,trigger,atr,trail,-5.935838778188756,-0.5093583877818876,-0.9593583877818875,False
sma|premkt|trigger|c20|1R,1831,-0.06223050204579785,-0.8324661810613865,3.7103929558159203,0.4811578372474058,-113.94404924585587,-0.7176745902916778,0.47295795415016206,12.201963534361848,-14.449541284403677,-0.03277771709448416,-1.0,-0.03277771709448416,0.5019115237575096,0.4653194975423266,0.03276897870016385,0.19999999999999973,sma,premkt,trigger,c20,1R,-6.223050204579785,-0.5122305020457979,-0.9622305020457979,False
ema|premkt|trigger|c20|1R,1923,-0.07013233115475186,-0.8499787505312328,3.7182784801374424,0.4799791991679667,-134.8644728105878,-0.8271152035245944,0.40817176769629926,17.221510883482715,-14.449541284403677,-0.03855642225689049,-1.0,-0.03855642225689049,0.5044201768070723,0.46333853354134164,0.03224128965158606,0.19999999999999973,ema,premkt,trigger,c20,1R,-7.0132331154751855,-0.5201323311547519,-0.9701323311547518,False
sma|rth|trigger|c20|1R,1945,-0.07491623533461571,-0.845987902372991,3.9354343224143893,0.4817480719794344,-145.71207772582756,-0.8395432594765152,0.4011645244018809,17.647058823529417,-15.461847389558226,-0.017751670951157105,-1.0,-0.017751670951157105,0.5043701799485861,0.46632390745501284,0.02930591259640103,0.19999999999999976,sma,rth,trigger,c20,1R,-7.491623533461571,-0.5249162353346157,-0.9749162353346157,False
ema|rth|trigger|c20|1R,2052,-0.09181866152146068,-0.8671153278893728,3.905721517173608,0.48050682261208577,-188.4118934420373,-1.0649233789563803,0.28691060439777516,17.647058823529417,-15.461847389558226,-0.026634990253411612,-1.0,-0.026634990253411612,0.5053606237816765,0.4649122807017544,0.0297270955165692,0.19999999999999976,ema,rth,trigger,c20,1R,-9.181866152146068,-0.5418186615214606,-0.9918186615214607,False
ema|rth|trigger|atr|3R,1943,-0.09188772556190575,-2.828633405639913,8.242485080338763,0.27689140504374676,-178.53785076678287,-0.4914006566030435,0.623143099935151,53.30940766550525,-18.689751472911897,-0.028779892701972818,-1.0,-0.028779892701972818,0.7025218733916624,0.2074112197632527,0.09006690684508492,0.4046451253584295,ema,rth,trigger,atr,3R,-9.188772556190575,-0.5418877255619058,-0.9918877255619057,False
sma|premkt|trigger|atr|eod,1788,-0.09732907136227055,-2.9919756303553866,14.109166326793243,0.2360178970917226,-174.02437959573973,-0.29169231263870804,0.7705218873758353,224.16713721061546,-20.882157085941945,-9.106246601405776e-05,-1.0,-9.106246601405776e-05,0.7354586129753915,0.0,0.2645413870246085,0.4462237655800575,sma,premkt,trigger,atr,eod,-9.732907136227055,-0.5473290713622706,-0.9973290713622706,False
sma|rth|trigger|atr|3R,1901,-0.10010165244015043,-2.828633405639913,8.231302401744522,0.27932667017359286,-190.29324128872597,-0.5302293308302225,0.595952937261113,53.30940766550525,-18.689751472911897,-0.02473077506718847,-1.0,-0.02473077506718847,0.7001578116780641,0.20725933719095213,0.09258285113098369,0.4085245622604644,sma,rth,trigger,atr,3R,-10.010165244015043,-0.5501016524401504,-1.0001016524401505,False
