draw,n,mean_pct,median_pct,win_rate,avg_R,t
67,1924,1.016711775842792,-1.7339009552907736,0.23596673596673598,0.3809885767989141,1.969128666939024
68,1924,1.6823246465642,-1.5769185240509576,0.25415800415800416,0.44367132727670666,3.5629401808320176
69,1924,1.6625144370096618,-1.6332852215866778,0.24324324324324326,0.45698293384150984,3.021697391392871
70,1924,1.0860735456827015,-1.5738521857022458,0.24272349272349272,0.49741772364389947,2.276452580805825
71,1924,1.0763600413754602,-1.6393442622950782,0.23492723492723494,0.3542827341139068,2.0905293048596634
72,1924,1.203951883418322,-1.6231111321688751,0.24688149688149688,0.412125365318629,2.446058742642908
73,1924,1.0442753908720768,-1.6049749372495092,0.251039501039501,0.3301838353899439,2.456132532851869
74,1924,1.118030807982491,-1.580000507239876,0.24896049896049896,0.46877076452013955,2.19395223090828
75,1924,1.3338817078127447,-1.5772590821763743,0.24324324324324326,0.5309807899644419,2.6168851565083426
76,1924,0.8995366832035718,-1.5744139098956778,0.2588357588357588,0.2512021462237307,1.9555315162108577
77,1924,1.3000907489519637,-1.5223338484502857,0.25415800415800416,0.3613254375233849,2.6656493879707965
78,1924,1.2922388140420156,-1.5538993950623914,0.2520790020790021,0.37905948219316143,2.4491434890524313
79,1924,0.988585508104558,-1.6508305140283452,0.24324324324324326,0.20504117888552464,2.230824595486503
80,1924,0.8604923464412818,-1.619051363799695,0.24584199584199584,0.3875439181642308,1.7783997506946512
81,1924,0.8810186218124458,-1.620699983871332,0.2390852390852391,0.25451655331191614,1.9937467043611379
82,1924,1.1588064078507634,-1.6271205732771576,0.2448024948024948,0.7664438448146692,2.1713480634923514
83,1924,0.9464091716159584,-1.6674389867160855,0.23284823284823286,0.22856612910911592,2.1061991805280753
84,1924,1.3270353988069592,-1.5218578742614841,0.2577962577962578,0.46632528704757015,2.581425077776657
85,1924,1.1108693839953163,-1.6324238615749553,0.24116424116424118,0.3930365293178032,2.230285532745071
86,1924,0.8910609665051819,-1.6151053270569926,0.24740124740124741,0.16242036995163536,1.9977522022376153
87,1924,1.3546498287291135,-1.613480580834975,0.2494802494802495,0.3490329046956265,2.865811268790383
88,1924,1.1664719976402107,-1.5538923229859614,0.23700623700623702,0.19807402902519533,2.6122274939651327
89,1924,1.0865241498019198,-1.62697638404955,0.2494802494802495,0.42059591907926,2.1353735528942814
90,1924,1.152777309253767,-1.6130524404663837,0.24532224532224534,0.3474925482290539,2.1646918606882632
91,1924,1.3416799307652327,-1.4855718205286916,0.25727650727650725,0.3740853013383923,2.7085742012854808
92,1924,1.1201265682833181,-1.6114831229112447,0.251039501039501,0.4350534230340492,2.2885224194136846
93,1924,0.9825374311876804,-1.5958551964743495,0.24532224532224534,0.32145486980464616,1.8996335826328983
94,1924,1.3996548576514896,-1.6074828361472893,0.24740124740124741,0.6169245493906672,2.5744028000919257
95,1924,1.2086129721872199,-1.6187693529386538,0.24636174636174638,0.44807940319551653,2.5585919683450706
96,1924,0.9556305345015039,-1.7634532073698972,0.24220374220374222,0.3838055975803179,2.1191401706894415
97,1924,1.2027943787560798,-1.590589433207923,0.24740124740124741,0.453963754904458,2.4277200240235532
98,1924,1.2578236286884603,-1.643255743379951,0.24220374220374222,0.30316702228265757,2.5825855554783734
99,1924,1.5139153211502863,-1.5691262139924556,0.2525987525987526,0.5488951938434401,2.782599425848659
100,1924,1.229253410810334,-1.5589478747373486,0.25727650727650725,0.4494206548145565,2.4880408977110164
101,1924,1.2310944789444551,-1.693481315781914,0.24740124740124741,0.4466503685818456,2.270330899797739
102,1924,1.1833971077962049,-1.52319854774976,0.262993762993763,0.3467659691082611,2.328799698688165
103,1924,1.323901879932807,-1.5858779984340543,0.25415800415800416,0.38210477230594087,2.705076503765767
104,1924,1.0194926617782614,-1.5858522397613761,0.23856548856548856,0.1816686254236947,2.23907978851183
105,1924,0.7515661562415666,-1.6315783738287348,0.23336798336798337,0.4398527736992327,1.7194218941202823
106,1924,1.1221171253875162,-1.602875790991598,0.24272349272349272,0.49822401575287895,2.421284157794096
107,1924,0.6299525035195893,-1.6386729501483621,0.2292099792099792,0.16689181248831136,1.4231513910770177
108,1924,1.4199990968375529,-1.5957936294533237,0.24532224532224534,0.25743760726986475,2.754041160798551
109,1924,1.2306965456457026,-1.5862531714579187,0.25571725571725573,0.26181328244845603,2.4716345716785924
110,1924,1.3154556579048946,-1.5734072909180163,0.24688149688149688,0.33654943216904376,2.578732469893832
111,1924,1.3110823805271246,-1.478348501150667,0.24792099792099792,0.3656270198409263,2.6939209127236468
112,1924,1.2337062573341595,-1.5327068825684353,0.24844074844074845,0.4071666370568579,2.5155974856155714
113,1924,1.0492689273497706,-1.5914125029647341,0.24532224532224534,0.41851272425621994,2.3094698062958656
114,1924,0.6814871700788899,-1.680227868521872,0.23700623700623702,0.1465825507129887,1.6073409634811082
115,1924,1.259772333482371,-1.5873015873015817,0.23752598752598753,0.28746478552254834,2.386375689658029
116,1924,0.9920510058730868,-1.6629660380229117,0.23180873180873182,0.227774542472592,2.123938374234453
