series,deposit_at,end,t2007,t2009,diff,n2007,n2009,ratio,err,err_2007_only,err_ratio
VFINX_TR,open,2022-09,486636.37107588747,409111.45074161753,77524.92033426993,183,164,1.1894958456766158,425747.821817505,239636.37107588747,0.0818725272909655
VFINX_TR,open,2022-10,452760.2937286634,380791.40101299854,71968.89271566487,184,165,1.1889982087941324,363551.69474166195,205760.2937286634,0.08137489040848211
VFINX_TR,open,2022-11,476061.43831835047,400547.64843603264,75513.78988231783,185,166,1.1885263592912525,406609.0867543831,229061.43831835047,0.08090304090560219
VFINX_TR,open,2022-12,505304.1002173641,425310.40445589524,79993.69576146884,186,167,1.1880830916041327,460614.50467325933,258304.1002173641,0.08045977321848241
VFINX_TR,open,2023-01,475558.79578221403,400432.3285431759,75126.46723903815,187,168,1.1876133915369866,405991.1243253899,228558.79578221403,0.07999007315133633
VFINX_TR,open,2023-02,513699.18539385934,432705.4599143024,80993.72547955695,188,169,1.1871798093224841,476404.64530816174,266699.18539385934,0.07955649093683381
VFINX_TR,open,2023-03,494613.64048217743,416786.75496838137,77826.88551379606,189,170,1.1867307072166922,441400.3954505588,247613.64048217743,0.07910738883104185
VFINX_TR,open,2023-04,518010.4536785282,436659.4554556548,81350.99822287337,190,171,1.1863030725808594,484669.909134183,271010.4536785282,0.07867975419520912
VFINX_TR,open,2023-05,524891.1673862225,442616.63195094996,82274.53543527256,191,172,1.1858821596301652,497507.7993371725,277891.1673862225,0.07825884124451488
VFINX_TR,open,2023-06,533610.8340103538,450126.2725264847,83484.5614838691,192,173,1.185469204041977,513737.10653683846,286610.8340103538,0.07784588565632666
VFINX_TR,open,2023-07,564836.9401547204,476623.43942150625,88213.5007332142,193,174,1.1850800725207342,571460.3795762267,317836.94015472045,0.0774567541350839
VFINX_TR,open,2023-08,581663.884921118,490978.60852221755,90685.27639890049,194,175,1.1847031109397037,602642.4934433356,334663.88492111803,0.0770797925540534
VFINX_TR,open,2023-09,575934.123728257,486298.0619526023,89636.06177565473,195,176,1.1843232963251893,592232.1856808593,328934.123728257,0.07669997793953898
VFINX_TR,open,2023-10,548444.9163729484,463242.7998094805,85202.11656346795,196,177,1.1839253985134994,541687.7161824289,301444.91637294844,0.07630208012784911
VFINX_TR,open,2023-11,543443.4926606897,459173.71038898674,84269.782271703,197,178,1.183524841176805,532617.2030496765,296443.49266068975,0.07590152279115459
VFINX_TR,open,2023-12,591335.3613251315,499794.2295644153,91541.1317607162,198,179,1.1831576403763142,621129.5908895468,344335.3613251315,0.0755343219906639
VFINX_TR,open,2024-01,612012.1660248904,517424.9844429457,94587.1815819447,199,180,1.1828036612568609,659437.1504678361,365012.1660248904,0.07518034287121056
VFINX_TR,open,2024-02,634593.4794095021,536670.881113302,97922.59829620016,200,181,1.1824630359915629,701264.3605228041,387593.4794095021,0.07483971760591257
VFINX_TR,open,2024-03,666454.6391701396,563769.9293044859,102684.70986565365,201,182,1.1821393879456008,760224.5684746255,419454.63917013956,0.07451606955995049
VFINX_TR,open,2024-04,681933.022374192,577017.5401629768,104915.48221121519,202,183,1.181823731357598,788950.5625371689,434933.022374192,0.0742004129719478
VFINX_TR,open,2024-05,654073.5030412078,553598.0615493325,100475.44149187533,203,184,1.1814952913864596,737671.5645905402,407073.5030412078,0.07387197300080928
VFINX_TR,open,2024-06,690638.6217632,584699.8478038146,105938.77395938546,204,185,1.1811848837609606,805338.4695670146,443638.62176320003,0.07356156537531033
VFINX_TR,open,2024-07,717374.3611593646,607487.9181981974,109886.4429611672,205,186,1.1808866311071489,854862.279357562,470374.3611593646,0.07326331272149855
VFINX_TR,open,2024-08,715179.4523877391,605782.4012692521,109397.05111848703,206,187,1.180588031097099,850961.8536569912,468179.4523877391,0.07296471271144878
VFINX_TR,open,2024-09,727938.8619862223,616743.0389250104,111195.82306121197,207,188,1.1802952219047782,874681.9009112327,480938.8619862223,0.07267190351912789
VFINX_TR,open,2024-10,753329.6622636857,638408.0385156223,114921.62374806346,208,189,1.1800128081332912,921737.700779308,506329.6622636857,0.07238948974764092
VFINX_TR,open,2024-11,757532.4537498929,642122.2391277951,115410.21462209779,209,190,1.1797324677289815,929654.692877688,510532.4537498929,0.07210914934333124
VFINX_TR,open,2024-12,801656.2915168044,679676.1519398465,121980.13957695791,210,191,1.1794680293384099,1011332.4434566508,554656.2915168044,0.07184471095275957
VFINX_TR,open,2025-01,779742.5242147986,661248.9468507365,118493.57736406208,211,192,1.1791966216784155,970991.4710655351,532742.5242147986,0.07157330329276523
VFINX_TR,open,2025-02,798060.6703621452,676935.3408150413,121125.32954710384,212,193,1.1789319041923072,1004996.0111771865,551060.6703621452,0.07130858580665689
VFINX_TR,open,2025-03,780654.0550659978,662322.3819743372,118331.6730916606,213,194,1.1786617458690163,972976.4370403349,533654.0550659978,0.07103842748336597
VFINX_TR,open,2025-04,753552.6273910517,639480.5734372941,114072.05395375763,214,195,1.17838236014052,923033.2008283458,506552.62739105173,0.07075904175486958
VFINX_TR,open,2025-05,751232.9257724967,637663.404977509,113569.52079498768,215,196,1.1781026163779829,918896.3307500058,504232.92577249673,0.07047929799233255
VFINX_TR,open,2025-06,797771.3127827129,677317.4121727579,120453.90060995496,216,197,1.1778396634209543,1005088.7249554708,550771.3127827129,0.07021634503530394
VFINX_TR,open,2025-07,834820.1025134617,708923.2669849889,125896.83552847279,217,198,1.1775888045879845,1073743.3694984508,587820.1025134617,0.06996548620233423
VFINX_TR,open,2025-08,841730.3107030863,714942.1735562794,126788.13714680693,218,199,1.1773404085481975,1086672.4842593656,594730.3107030863,0.06971709016254724
VFINX_TR,open,2025-09,867758.2069507865,737200.1683265113,130558.03862427524,219,200,1.1770998491775304,1134958.3752772978,620758.2069507865,0.0694765307918801
VFINX_TR,open,2025-10,909545.9541334395,772851.2195615891,136694.7345718504,220,201,1.1768706978936936,1212397.1736950285,662545.9541334395,0.06924737950804327
VFINX_TR,open,2025-11,930175.0405984523,790530.27062484,139644.76997361227,221,202,1.1766469611128694,1250705.3112232923,683175.0405984523,0.06902364272721906
VFINX_TR,open,2025-12,926854.1136488835,787858.0332483189,138996.0804005646,222,203,1.1764227494482569,1244712.1468972024,679854.1136488835,0.06879943106260655
VFINX_TR,open,2026-01,935146.5093382692,795056.821645437,140089.6876928322,223,204,1.1762008499001426,1260203.3309837063,688146.5093382692,0.06857753151449231
VFINX_TR,open,2026-02,952729.4664700112,810155.5677338706,142573.89873614057,224,205,1.1759833597576101,1292885.0342038819,705729.4664700112,0.06836004137195983
VFINX_TR,open,2026-03,941726.3065430815,800948.6546620703,140777.6518810112,225,206,1.1757636411043189,1272674.9612051519,694726.3065430815,0.06814032271866854
VFINX_TR,open,2026-04,901692.9312581855,767049.3144797562,134643.61677842936,226,207,1.1755344985475282,1198742.2457379417,654692.9312581855,0.06791118016187792
VFINX_TR,open,2026-05,992989.9783941546,844862.9233083687,148127.05508578592,227,208,1.1753267317090215,1367852.9017025232,745989.9783941546,0.06770341332337115
VFINX_TR,open,2026-06,1045876.1566939806,890009.0972189876,155867.05947499292,228,209,1.1751297373948546,1465885.253912968,798876.1566939806,0.06750641900920429
VFINX_TR,open,2026-07,1031813.1382186721,878190.922343504,153622.2158751681,229,210,1.1749303163658515,1440004.0605621762,784813.1382186721,0.06730699798020123
VFINX_TR,open,2026-08,1049560.1349570716,893444.5308385161,156115.60411855555,230,211,1.1747345232188482,1473004.6657955877,802560.1349570716,0.06711120483319788
VFINX_TR,open,2026-09,1055778.9110953107,898887.0461771641,156891.86491814663,231,212,1.1745401333631238,1484665.9572724747,808778.9110953107,0.06691681497747348
SPY_TR,close,2016-01,161458.22550220095,126498.71628167378,34959.509220527165,103,84,1.2763625612032543,182043.05821612527,85541.77449779905,0.168739242817604
SPY_TR,close,2016-02,162324.78273115485,127394.16701401093,34930.61571714391,104,85,1.2741932110070802,180281.05025483423,84675.21726884515,0.16656989262142985
SPY_TR,close,2016-03,174243.72471150744,136963.46552072847,37280.259190778976,105,86,1.272191266839235,158792.8097677641,72756.27528849256,0.1645679484535847
SPY_TR,close,2016-04,175930.4450467033,138503.25883097656,37427.186215726746,106,87,1.2702260331751565,155566.29612232014,71069.5549532967,0.16260271478950616
SPY_TR,close,2016-05,179923.34678726332,141859.45502157006,38063.89176569326,107,88,1.2683211475745875,148217.19819116662,67076.65321273668,0.16069782918893716
SPY_TR,close,2016-06,181548.76194298637,143352.55975054114,38196.20219244523,108,89,1.2664493906416,145098.6783064725,65451.23805701363,0.15882607225594958
SPY_TR,close,2016-07,189170.04810083858,149580.78774510615,39589.26035573243,109,90,1.2646680830642147,131249.16415405527,57829.95189916142,0.15704476467856443
SPY_TR,close,2016-08,190396.58830909425,150759.91791474464,39636.67039434961,110,91,1.262912523053802,128843.4937761611,56603.41169090575,0.15528920466815177
SPY_TR,close,2016-09,191407.6652532638,151768.68886599215,39638.97638727166,111,92,1.2611801991797653,126823.64588074404,55592.33474673619,0.153556880794115
SPY_TR,close,2016-10,189089.22628142816,150137.47171399923,38951.75456742893,112,93,1.2594405921636214,130773.30200457262,57910.77371857184,0.15181727377797105
SPY_TR,close,2016-11,197054.9317371278,156668.26490824835,40386.666828879446,113,94,1.2577846052774735,116276.80335462384,49945.0682628722,0.15016128689182318
SPY_TR,close,2016-12,202049.5358057943,160844.16963144636,41205.36617434793,114,95,1.2561819074248368,107106.29456275934,44950.464194205706,0.1485585890391865
SPY_TR,close,2017-01,206665.25525913137,164722.51028574642,41942.74497338495,115,96,1.2546266742816528,98612.2344551222,40334.74474086863,0.14700335589600244
SPY_TR,close,2017-02,215785.38435588317,172194.65794783962,43590.726408043556,116,97,1.2531479601489603,82019.95769627721,31214.615644116828,0.14552464176331004
SPY_TR,close,2017-03,217055.11438859077,173409.8999154964,43645.214473094355,117,98,1.2516881359966352,79534.98569591282,29944.885611409234,0.14406481761098489
SPY_TR,close,2017-04,220209.65470445054,176131.2075271119,44078.44717733865,118,99,1.2502591550708222,73659.13776843756,26790.345295549458,0.14263583668517188
SPY_TR,close,2017-05,224317.45738291444,179616.9343189208,44700.523063993634,119,100,1.248865861303618,66065.60829816476,22682.542617085564,0.14124254291796778
SPY_TR,close,2017-06,226747.45175609927,181761.9687197268,44985.48303637246,120,101,1.247496675752556,61490.579524173925,20252.548243900732,0.13987335736690576
SPY_TR,close,2017-07,232408.08314733696,186497.95574223823,45910.12740509873,121,102,1.2461696012826642,51093.9611104248,14591.916852663038,0.13854628289701387
SPY_TR,close,2017-08,234086.23683349468,188042.14626450717,46044.09056898751,122,103,1.244860481991203,47871.616901998146,12913.76316650532,0.13723716360555271
SPY_TR,close,2017-09,239802.83238819166,192831.00101805557,46971.83137013609,123,104,1.2435906629232192,37366.16659375277,7197.1676118083415,0.13596734453756887
SPY_TR,close,2017-10,246453.5948520426,198374.90974326915,48078.68510877344,124,105,1.2423627321166544,25171.495404688263,546.4051479574118,0.13473941373100407
SPY_TR,close,2017-11,254986.68342762213,205438.42757170973,49548.2558559124,125,106,1.2411829979501632,25548.2558559124,7986.683427622134,0.13355967956451287
SPY_TR,close,2017-12,259079.0892899013,208929.92630105614,50149.16298884517,126,107,1.240028625274979,26149.16298884517,12079.089289901312,0.13240530688932872
SPY_TR,close,2018-01,274680.5287477305,221705.0088759372,52975.51987179328,127,108,1.2389459766397861,28975.51987179328,27680.52874773048,0.1313226582541358
SPY_TR,close,2018-02,265693.0594940264,214643.74596212426,51049.31353190215,128,109,1.2378327554016424,27049.313531902153,18693.059494026413,0.13020943701599208
SPY_TR,close,2018-03,259410.29819482588,209760.26835384473,49650.02984098115,129,110,1.2366989241128663,25650.02984098115,12410.298194825882,0.129075605727216
SPY_TR,close,2018-04,261750.96989703152,211844.34118358974,49906.62871344178,130,111,1.235581599369659,25906.62871344178,14750.969897031522,0.12795828098400874
SPY_TR,close,2018-05,269113.99770336365,217994.16520943982,51119.83249392384,131,112,1.234500920906805,27119.832493923837,22113.997703363653,0.12687760252115465
SPY_TR,close,2018-06,271661.5576091281,220247.75674554636,51413.80086358177,132,113,1.2334362066760138,27413.800863581768,24661.557609128125,0.12581288829036352
SPY_TR,close,2018-07,282725.7871801558,229407.26229318208,53318.524886973726,133,114,1.2324186442660772,42133.04947333789,35725.78718015581,0.12479532588042686
SPY_TR,close,2018-08,292750.20370009623,237729.78744478308,55020.41625531315,134,115,1.2314409853586086,60479.991144879314,45750.20370009623,0.12381766697295826
SPY_TR,close,2018-09,295490.8221181242,240143.26843065518,55347.553687469044,135,116,1.2304772232391408,65634.09054877941,48490.822118124226,0.12285390485349046
SPY_TR,close,2018-10,276071.1538017395,224548.35067782475,51522.80312391475,136,117,1.2294508196937868,30619.50447956426,29071.153801739507,0.12182750130813647
SPY_TR,close,2018-11,282192.0523206451,229713.54251541372,52478.509805231355,137,118,1.228451963391362,41905.59483605879,35192.052320645074,0.12082864500571167
SPY_TR,close,2018-12,258345.51552373872,210487.65046806572,47857.865055673,138,119,1.2273666172302768,23857.865055673,11345.515523738723,0.11974329884462653
SPY_TR,close,2019-01,280030.07499493915,228340.44667485682,51689.62832008232,139,120,1.2263708820438863,38370.52166979597,33030.07499493915,0.11874756365823602
SPY_TR,close,2019-02,290107.4629237008,236742.27597598406,53365.18694771675,140,121,1.2254146908392918,56849.73889968486,43107.462923700805,0.11779137245364146
SPY_TR,close,2019-03,296358.5891157967,242027.45896860788,54331.130147188844,141,122,1.2244833308531156,68386.04808440461,49358.58911579673,0.11686001246746525
SPY_TR,close,2019-04,309465.55049605196,252914.86296603116,56550.687530020805,142,123,1.2235957462793166,92380.41346208312,62465.55049605196,0.11597242789366624
SPY_TR,close,2019-05,290730.5615808308,237786.17914604335,52944.38243478743,143,124,1.2226554235613083,58516.74072687412,43730.56158083078,0.11503210517565798
SPY_TR,close,2019-06,311961.58105181355,255332.9666391659,56628.61441264764,144,125,1.221783403678831,97294.54769097947,64961.581051813555,0.11416008529318078
SPY_TR,close,2019-07,317678.1036450304,260193.32566762815,57484.777977402264,145,126,1.2209310243831293,107871.42931265855,70678.10364503041,0.11330770599747897
SPY_TR,close,2019-08,313359.10952114506,256836.81902011076,56522.290501034295,146,127,1.2200708244116998,100195.92854125582,66359.10952114506,0.11244750602604947
SPY_TR,close,2019-09,320456.4742424478,262834.36883386265,57622.105408585165,147,128,1.219233525905465,113290.84307631047,73456.47424244782,0.11161020751981465
SPY_TR,close,2019-10,328540.0616655899,269644.2381268526,58895.82353873731,148,129,1.2184204785827097,128184.29979244253,81540.06166558992,0.11079716019705943
SPY_TR,close,2019-11,341432.6040883281,280404.860696634,61027.74339169409,149,130,1.2176415317483356,151837.46478496207,94432.60408832808,0.11001821336268525
SPY_TR,close,2019-12,352353.0590602378,289552.131230077,62800.92783016077,150,131,1.2168898828800516,171905.1902903148,105353.05906023778,0.10926656449440131
SPY_TR,close,2020-01,353210.7767914108,290435.20835083484,62775.56844057597,151,132,1.2161431074318836,173645.98514224566,106210.77679141081,0.10851978904623327
SPY_TR,close,2020-02,326248.5745939574,268442.6822027395,57805.89239121787,152,133,1.2153379332857372,124691.25679669692,79248.5745939574,0.10771461490008694
SPY_TR,close,2020-03,286509.5471025283,235921.94169455118,50587.6054079771,153,134,1.214425182518517,52431.48879707945,39509.547102528275,0.10680186413286674
SPY_TR,close,2020-04,323891.5297603129,266880.1335877186,57011.39617259428,154,135,1.2136217312475814,120771.66334803146,76891.52976031287,0.10599841286193112
SPY_TR,close,2020-05,340323.3127794741,280595.61372607906,59727.699053395016,155,136,1.2128604159568295,150918.92650555313,93323.31277947407,0.10523709757117916
SPY_TR,close,2020-06,347358.89001280296,286571.93017100764,60786.959841795324,156,137,1.2121176341504263,163930.8201838106,100358.89001280296,0.10449431576477597
SPY_TR,close,2020-07,368815.45031591697,304448.6422381925,64366.808077724476,157,138,1.2114209070026518,203264.09255410946,121815.45031591697,0.1037975886170015
SPY_TR,close,2020-08,395557.6610325594,326698.24307291384,68859.41795964557,158,139,1.210773762699046,252255.90410547325,148557.6610325594,0.1031504443133957
SPY_TR,close,2020-09,381746.64881950634,315465.55958625115,66281.08923325519,159,140,1.2101056271251485,227212.2084057575,134746.64881950634,0.10248230873949815
SPY_TR,close,2020-10,373228.14293408685,308599.7124469129,64628.43048717396,160,141,1.2094247916653251,211827.85538099974,126228.14293408685,0.10180147327967481
