n,mean_pct,std_pct,median_pct,win_rate,mean_R,t,p,breakeven_bps,mean_risk_pct,trades_per_yr,symbol,n_min,entry_rule,stop,target,direction_mode,window,bonf_bar_per_symbol,bonf_bar_total
712,0.04471866198416248,0.7645884317602727,-0.2974833674312196,0.40168539325842695,0.14154696818703758,1.5606340373639769,0.1186101229948302,4.471866198416248,0.4981738592098119,125.69260512324794,NVDA,5,touch,atr10,2R,short_only,full,3.577254387307179,3.9247896514051925
1407,-0.0017145933175405548,0.7595699766118386,-0.31132403179712437,0.3745557924662402,0.04497577213602202,-0.08467211058329872,0.9325220688522666,-0.17145933175405548,0.518122103161224,248.3841227646206,NVDA,5,touch,atr10,2R,long_short,full,3.577254387307179,3.9247896514051925
695,-0.032710895122566135,0.8571973917197827,-0.33938060684473015,0.28345323741007195,-0.014703007500943926,-1.006013920004436,0.31440887406064943,-3.2710895122566135,0.5385582897704405,122.69151764137264,NVDA,5,touch,atr10,3R,long_only,full,3.577254387307179,3.9247896514051925
712,0.05823962902630959,0.9021761336714625,-0.32871913150784926,0.3160112359550562,0.17259143410862546,1.7225318575570336,0.08497321694481808,5.823962902630959,0.4981738592098119,125.69260512324794,NVDA,5,touch,atr10,3R,short_only,full,3.577254387307179,3.9247896514051925
1407,0.013313819301029825,0.8811080518224654,-0.3340622777429546,0.2999289267945984,0.08007570069096324,0.5667878567238724,0.5708583217757326,1.3313819301029826,0.518122103161224,248.3841227646206,NVDA,5,touch,atr10,3R,long_short,full,3.577254387307179,3.9247896514051925
695,0.0681753031759788,1.4296377978811445,-0.35949770919844953,0.1971223021582734,0.25620099722967177,1.257168406473857,0.20869266089355043,6.817530317597879,0.5385582897704405,122.69151764137264,NVDA,5,touch,atr10,eod,long_only,full,3.577254387307179,3.9247896514051925
712,0.11505874463224225,1.4249900505182647,-0.353344650099228,0.21348314606741572,0.3159218610285875,2.1545064373820333,0.031200477684582895,11.505874463224226,0.4981738592098119,125.69260512324794,NVDA,5,touch,atr10,eod,short_only,full,3.577254387307179,3.9247896514051925
1407,0.09190025720359754,1.4269727044249345,-0.35610469175154347,0.20540156361051884,0.2864222161527904,2.4157284260003657,0.01570376900744863,9.190025720359754,0.518122103161224,248.3841227646206,NVDA,5,touch,atr10,eod,long_short,full,3.577254387307179,3.9247896514051925
702,0.03284575292323063,1.237511643255917,0.2518501634297745,0.5128205128205128,0.02491752346404497,0.7032317720968839,0.48191132203767295,3.284575292323063,1.2053290760385895,123.92725954567423,NVDA,5,touch,or,1R,long_only,full,3.577254387307179,3.9247896514051925
719,0.04052000381633972,1.2656591772750612,0.46050795422829793,0.521557719054242,0.056090696106914265,0.8584542404847845,0.39064168782821396,4.052000381633972,1.2128373007003106,126.92834702754953,NVDA,5,touch,or,1R,short_only,full,3.577254387307179,3.9247896514051925
1421,0.03672878345957506,1.2513981434626866,0.380157366069007,0.5172413793103449,0.040690578446608665,1.1063895786487998,0.2685579342249522,3.672878345957506,1.2091281003396293,250.85560657322378,NVDA,5,touch,or,1R,long_short,full,3.577254387307179,3.9247896514051925
702,0.0929186257616488,1.5731152637834969,-0.5968447080295236,0.4287749287749288,0.07233438318776396,1.5649871976596001,0.11758591117636952,9.291862576164881,1.2053290760385895,123.92725954567423,NVDA,5,touch,or,2R,long_only,full,3.577254387307179,3.9247896514051925
719,0.055249406425782174,1.6216045148185982,-0.6622516556291367,0.41168289290681503,0.08834432236920246,0.9135811220645061,0.36093698964054366,5.524940642578217,1.2128373007003106,126.92834702754953,NVDA,5,touch,or,2R,short_only,full,3.577254387307179,3.9247896514051925
1421,0.07385869001042564,1.5973826556990354,-0.6232609905397752,0.4201266713581985,0.08043511948013152,1.7429690482009204,0.08133902153627237,7.385869001042564,1.2091281003396293,250.85560657322378,NVDA,5,touch,or,2R,long_short,full,3.577254387307179,3.9247896514051925
702,0.11004158325440748,1.7055474769194507,-0.6508105011660495,0.4074074074074074,0.09063138814755092,1.709470352142415,0.08736385897344112,11.004158325440748,1.2053290760385895,123.92725954567423,NVDA,5,touch,or,3R,long_only,full,3.577254387307179,3.9247896514051925
719,0.07531282081626019,1.7933808197570864,-0.7004171602204324,0.38803894297635605,0.11878943456441309,1.1260582033906223,0.26014088399700785,7.531282081626019,1.2128373007003106,126.92834702754953,NVDA,5,touch,or,3R,short_only,full,3.577254387307179,3.9247896514051925
1421,0.09246946489196702,1.7500108714978442,-0.6856868856389251,0.3976073187895848,0.10487884442744108,1.9918408584010652,0.04638852167302554,9.246946489196702,1.2091281003396293,250.85560657322378,NVDA,5,touch,or,3R,long_short,full,3.577254387307179,3.9247896514051925
702,0.1516947577408358,1.8894099553278239,-0.6623980139128782,0.4045584045584046,0.12246635748461236,2.1272225563299925,0.0334015958251106,15.16947577408358,1.2053290760385895,123.92725954567423,NVDA,5,touch,or,eod,long_only,full,3.577254387307179,3.9247896514051925
719,0.05828087960684147,1.839033767769431,-0.7004171602204324,0.38247566063977745,0.10416277980497948,0.8497689129172358,0.3954535762958715,5.8280879606841465,1.2128373007003106,126.92834702754953,NVDA,5,touch,or,eod,short_only,full,3.577254387307179,3.9247896514051925
1421,0.1044290445963306,1.8640193642845342,-0.6856868856389251,0.39338494018296977,0.11320508207880237,2.1118736135720604,0.03469729115263798,10.44290445963306,1.2091281003396293,250.85560657322378,NVDA,5,touch,or,eod,long_short,full,3.577254387307179,3.9247896514051925
680,-0.003222830354027315,0.46592995053973923,-0.1610277096584934,0.49558823529411766,-0.006336047463724607,-0.18037289400431458,0.8568598327563082,-0.3222830354027315,0.504544362784627,120.04349927501208,NVDA,15,close,atr10,1R,long_only,full,3.577254387307179,3.9247896514051925
693,-0.0279072349694683,0.5293093413496461,-0.24810858097182625,0.4733044733044733,-0.04200683461426205,-1.387950148678207,0.16515222568241628,-2.79072349694683,0.5360628798250082,122.3384485258579,NVDA,15,close,atr10,1R,short_only,full,3.577254387307179,3.9247896514051925
1373,-0.01568189255249826,0.49889838302261486,-0.22819621121991504,0.48434085943190097,-0.024340312209043213,-1.1647203033681572,0.24413222776071786,-1.5681892552498258,0.5204528349688835,242.38194780087,NVDA,15,close,atr10,1R,long_short,full,3.577254387307179,3.9247896514051925
680,-0.0034268809388633753,0.6211918214294772,-0.30265992132867986,0.3338235294117647,-0.02170069597379442,-0.14385592139684994,0.8856142431812335,-0.34268809388633753,0.504544362784627,120.04349927501208,NVDA,15,close,atr10,2R,long_only,full,3.577254387307179,3.9247896514051925
693,-0.0004682337313250737,0.68366059748442,-0.30757652197253177,0.341991341991342,0.02535369164841505,-0.01802971093758356,0.9856151513596525,-0.046823373132507375,0.5360628798250082,122.3384485258579,NVDA,15,close,atr10,2R,short_only,full,3.577254387307179,3.9247896514051925
1373,-0.001933550629450381,0.6532326930471356,-0.30623567256270134,0.33794610342316095,0.0020492607794402188,-0.10967885421054015,0.9126640711213958,-0.1933550629450381,0.5204528349688835,242.38194780087,NVDA,15,close,atr10,2R,long_short,full,3.577254387307179,3.9247896514051925
680,0.0023193211175483418,0.7472163659197606,-0.3193779748292215,0.26176470588235295,-0.011154169298607484,0.0809410740855326,0.9354888147117799,0.2319321117548342,0.504544362784627,120.04349927501208,NVDA,15,close,atr10,3R,long_only,full,3.577254387307179,3.9247896514051925
693,0.005446869495603833,0.7961452900326138,-0.32756920063182987,0.2727272727272727,0.04156518701109363,0.18010312858123487,0.8570716065199075,0.5446869495603833,0.5360628798250082,122.3384485258579,NVDA,15,close,atr10,3R,short_only,full,3.577254387307179,3.9247896514051925
1373,0.003897901617178678,0.7720204336799088,-0.32380318616658976,0.2672978878368536,0.015455090659602908,0.18708430144815386,0.8515945364775235,0.3897901617178678,0.5204528349688835,242.38194780087,NVDA,15,close,atr10,3R,long_short,full,3.577254387307179,3.9247896514051925
680,0.069737845137165,1.1874396585200737,-0.3301176451762733,0.20147058823529412,0.15405091366403936,1.5314803560409138,0.12565071772953695,6.9737845137165,0.504544362784627,120.04349927501208,NVDA,15,close,atr10,eod,long_only,full,3.577254387307179,3.9247896514051925
693,0.006866263767768894,1.1778881234032068,-0.33933798773789325,0.1847041847041847,-0.02460350055890238,0.1534557115556927,0.8780389136245763,0.6866263767768893,0.5360628798250082,122.3384485258579,NVDA,15,close,atr10,eod,short_only,full,3.577254387307179,3.9247896514051925
1373,0.03800441040374076,1.1826153306092728,-0.3357030034559321,0.1930080116533139,0.06387792818953199,1.1907641838843226,0.23374617300621314,3.800441040374076,0.5204528349688835,242.38194780087,NVDA,15,close,atr10,eod,long_short,full,3.577254387307179,3.9247896514051925
687,0.11243287079984575,1.5374135845998378,0.23584243479236738,0.5312954876273653,0.06147948156362159,1.9168183318909693,0.055261015187168194,11.243287079984574,1.942339390866865,121.27924117931367,NVDA,15,close,or,1R,long_only,full,3.577254387307179,3.9247896514051925
700,0.03174129525781807,1.6360204111591667,0.0394902112630086,0.5071428571428571,0.01716488352999191,0.513316172404955,0.607730173019172,3.1741295257818067,1.9442677544710878,123.57419043015949,NVDA,15,close,or,1R,short_only,full,3.577254387307179,3.9247896514051925
1387,0.07170893217012737,1.5878853060936307,0.1412429378531127,0.5191059841384282,0.03911450779034057,1.681869736878543,0.09259410220021747,7.170893217012737,1.9433126097010078,244.85343160947318,NVDA,15,close,or,1R,long_short,full,3.577254387307179,3.9247896514051925
687,0.17914488688409938,1.7578839624208176,0.09604402450420635,0.5094614264919942,0.09807114927127304,2.671114972285175,0.007559974764476118,17.91448868840994,1.942339390866865,121.27924117931367,NVDA,15,close,or,2R,long_only,full,3.577254387307179,3.9247896514051925
