symbol,bucket,n_sessions,median_price,tick_floor_bps,cs_median_bps,cs_p90_bps,ar_median_bps,ar_p90_bps,median_5min_range_bps
IWM,YEAR_2022,251,184.91,0.5408036342004219,3.244027354218926,6.016862574559794,1.8277443322603548,7.902691079402572,19.80363717505318
IWM,YEAR_2023,250,182.945,0.5466123698379295,2.053925299636476,3.7407579499655834,0.0,4.9766536150597105,12.980147503347528
IWM,YEAR_2024,252,206.805,0.48354730301491744,2.127957901823995,3.834783183453552,2.2438352893557227,5.914832442781977,12.866038803973634
IWM,YEAR_2025,250,224.27,0.4458911133901101,2.043005845224762,4.838775143255309,0.9693123969238726,5.728174682857925,13.410267732157921
IWM,YEAR_2026,166,277.25,0.3606853020739405,2.0816812026907847,4.176127662669582,0.0,5.433525611394533,13.089970367143877
AAPL,09:30-09:45,1421,180.26,0.5547542438699656,10.819095524638046,28.70587728322474,1.3897167137124227,32.75606930591453,47.29972458388243
AAPL,09:45-10:30,1421,180.36,0.5544466622310933,5.420715334688773,13.729740380299345,3.2212764302415464,14.513267189571517,27.93706807822316
AAPL,10:30-15:30,1421,179.94060000000002,0.5557389494088605,2.8673886062258003,5.602886626000958,1.77378389448661,5.884196034958552,15.141206862917533
AAPL,15:30-16:00,1421,180.10244999999998,0.5552395317220838,3.282977754812437,10.005723679433165,1.8444820651538787,12.185657423434794,17.9223366206227
AAPL,YEAR_2021,252,140.5745,0.7113665707507407,3.0294999200984734,5.644467909823615,2.5591147402475745,7.803770403309822,16.269615395276826
AAPL,YEAR_2022,251,153.9015,0.6497662465927883,4.655414282403595,7.652817826633185,2.709097240851386,9.1979738672823,23.787542778240798
AAPL,YEAR_2023,250,175.5226,0.5697272032205539,2.888147150938983,4.8166298355107395,1.0127395853799457,6.825745499579177,14.705882352941124
AAPL,YEAR_2024,252,214.595,0.4659940818751602,2.551979259488841,4.686284250980688,2.3116509032299963,6.591608299301877,14.095082528684522
AAPL,YEAR_2025,250,230.0425,0.4347022832737429,2.8148449859604865,5.623010490855036,1.765170520047339,6.99137811023815,17.057864082646866
AAPL,YEAR_2026,166,278.58505,0.35895680690690324,3.0928266271323794,4.82466636248548,1.630871758923167,6.862095347202688,16.86423635283374
NVDA,09:30-09:45,1421,203.355,0.4917508790046963,20.931339053898846,54.547686977570166,5.766411749322045,61.552414014083446,87.13104349219458
NVDA,09:45-10:30,1421,203.9184,0.4903922353255028,9.475541467598463,24.497714587606517,1.7198383147076386,26.660372136853628,52.323815157055975
NVDA,10:30-15:30,1421,204.29005,0.4895001004698956,4.951086760090736,10.293824525302607,2.4715051825554575,10.87916045176345,26.98872434605981
NVDA,15:30-16:00,1421,204.27,0.48954814706026334,4.630045257176571,16.275582895460026,2.1296218013368873,18.67340061336616,28.65491777284568
NVDA,YEAR_2021,252,513.85,0.19460932178651358,4.894342388034391,9.180363141381882,3.466228822292649,14.09603248158385,27.290382280560355
NVDA,YEAR_2022,251,173.17005,0.5774670620006174,8.165650292312298,14.316630846387232,3.291117057828677,16.46722993326486,43.43111456423077
NVDA,YEAR_2023,250,417.95,0.23926306974518485,5.362667275980007,8.94604232324028,0.0,10.334550316360824,28.11641483516425
NVDA,YEAR_2024,252,141.98005,0.7043243047174584,5.415846801096412,9.469165817958666,3.611546804924097,14.479130599372416,31.21093772970096
NVDA,YEAR_2025,250,158.6376,0.6303675799432166,4.430053766458739,10.143918182177494,0.9322763155673035,11.226668499395183,26.382969639654476
NVDA,YEAR_2026,166,197.8408,0.5054569128309226,4.739327181282617,7.645593398435577,2.2645882656534617,10.954192915998195,24.26883162865434
TSLA,09:30-09:45,1421,344.96,0.28988868274582563,21.417085825397482,62.64483865004105,0.0,71.69250542360957,102.3217399284193
TSLA,09:45-10:30,1421,343.7001,0.2909513264616449,11.395186150827195,27.854665018459414,0.0,29.69233819268686,61.97355213197753
TSLA,10:30-15:30,1421,344.125,0.2905920813657828,6.204777381964471,11.278777534092123,2.4244843337814124,12.53731401322105,32.001442318525534
TSLA,15:30-16:00,1421,343.855,0.29082025853920984,5.8247849356964645,17.19610498921395,1.8787037815138714,19.569815095300402,30.853104421116882
TSLA,YEAR_2021,252,727.5,0.13745704467353953,6.045437387815879,11.102036695389451,3.9175793693701273,15.631922829380077,33.24387498917947
TSLA,YEAR_2022,251,737.5606,0.13558207962844002,8.164718464260883,12.970549579736836,4.208948132361204,19.320675687600126,44.45553439413774
TSLA,YEAR_2023,250,221.99985,0.4504507548090686,6.272310099878284,10.425162967401645,0.0,12.95053251429124,34.97912946718861
TSLA,YEAR_2024,252,211.7742,0.4722010518750631,6.32639220483621,10.216524682837976,3.0345685916689304,15.450116915720715,33.0631244722146
TSLA,YEAR_2025,250,345.35540000000003,0.2895567870083977,6.9601815730480645,12.941107107179661,0.0,15.42505700983533,37.00140018996878
