label,leg,n,mean_bps,ann_ret_arith_pct,ann_ret_geom_pct,ann_vol_pct,sharpe,t,p,win_rate,start,end,period,universe,n_names
RSP,total,1428,4.7309732609983755,11.922052617715908,11.254592284411284,15.850798878193494,0.7521420661085731,1.7904562444035732,0.07338059539200614,0.5322128851540616,2021-01-04,2026-09-10,2021_2026,RSP,
DIA,overnight,1428,2.182619098718507,5.500200128770637,5.2480126279443144,8.7742072690787,0.6268600638320873,1.492225426856218,0.1356400587346367,0.5448179271708683,2021-01-04,2026-09-10,2021_2026,DIA,
DIA,intraday,1428,2.6699250829980885,6.728211209155183,6.174144406221604,12.169139948400538,0.5528912673931005,1.316144471618058,0.18812555698144928,0.5315126050420168,2021-01-04,2026-09-10,2021_2026,DIA,
DIA,total,1428,4.825845818509326,12.161131462643501,11.746176912271903,14.521551535300823,0.8374540029748672,1.9935392748139085,0.04620242733706981,0.542016806722689,2021-01-04,2026-09-10,2021_2026,DIA,
MDY,overnight,1428,2.9253897197028196,7.371982093651106,6.964155875794564,11.296137977637729,0.6526108399388327,1.553524535038136,0.12029787242047885,0.5483193277310925,2021-01-04,2026-09-10,2021_2026,MDY,
MDY,intraday,1428,1.6041759809647664,4.0425234720312115,2.7501050831190708,16.342944665884914,0.24735588075934556,0.5888247729406818,0.5559788257937053,0.5140056022408963,2021-01-04,2026-09-10,2021_2026,MDY,
MDY,total,1428,4.504787885854289,11.352065472352809,9.90578256365021,19.53655926294709,0.5810677980478919,1.3832180306300033,0.16659802273567892,0.5154061624649859,2021-01-04,2026-09-10,2021_2026,MDY,
XLK,overnight,1428,4.526711123016465,11.407312030001492,10.784506755569975,15.251663802721454,0.7479388594945302,1.7804506113353846,0.07500224521981447,0.5469187675070029,2021-01-04,2026-09-10,2021_2026,XLK,
XLK,intraday,1428,4.3879493476805065,11.057632356154876,9.381092646877464,20.49393118659263,0.5395564304123803,1.2844012103166915,0.19900160969795655,0.5294117647058824,2021-01-04,2026-09-10,2021_2026,XLK,
XLK,total,1428,8.881523042364067,22.38143806675745,21.177303972696333,25.20015350308003,0.8881468941854633,2.114212492952702,0.03449712232250124,0.5497198879551821,2021-01-04,2026-09-10,2021_2026,XLK,
XLF,overnight,1428,3.0807740139313875,7.763550515107097,7.389922190745009,11.256329060592357,0.6897053624957322,1.641827161015158,0.10062582847455559,0.5329131652661064,2021-01-04,2026-09-10,2021_2026,XLF,
XLF,intraday,1428,2.8870920116417755,7.275471869337275,6.3354909694985455,15.071281294048486,0.4827374479574138,1.1491449781217666,0.2504962044537806,0.5427170868347339,2021-01-04,2026-09-10,2021_2026,XLF,
XLF,total,1428,5.94461105538452,14.980419859568991,14.193601013291183,18.467762522688876,0.8111659352974975,1.9309611568663663,0.05348785616728913,0.5273109243697479,2021-01-04,2026-09-10,2021_2026,XLF,
LARGECAP30,overnight,1428,3.1103621316292713,7.838112571705764,7.794425488441345,8.1424409163212,0.9626244331714556,2.29150449768686,0.02193425203995103,0.5525210084033614,2021-01-04,2026-09-10,2021_2026,LARGECAP30,30.0
LARGECAP30,intraday,1428,2.712957587233289,6.836653119827889,6.342391476650057,11.749680349358279,0.5818586477717481,1.3851006295302208,0.16602169945639256,0.5196078431372549,2021-01-04,2026-09-10,2021_2026,LARGECAP30,30.0
LARGECAP30,total,1428,5.802706751860871,14.622821014689395,14.614779665651456,13.997772169135114,1.0446534518494668,2.486772619671067,0.012890776036021734,0.5350140056022409,2021-01-04,2026-09-10,2021_2026,LARGECAP30,30.0
MODERN10,overnight,1428,5.232083939725919,13.184851528109315,12.494661144207326,16.781139264560668,0.7856946611457907,1.8703273964202969,0.06143836733898178,0.5546218487394958,2021-01-04,2026-09-10,2021_2026,MODERN10,10.0
MODERN10,intraday,1428,4.253601550668662,10.71907590768503,8.271485330563486,23.591530723773825,0.4543611872070313,1.0815959663822576,0.2794320976217721,0.5413165266106442,2021-01-04,2026-09-10,2021_2026,MODERN10,10.0
MODERN10,total,1428,9.445066754798457,23.80156822209211,21.757115198921515,28.69115153165838,0.8295787011486448,1.9747923066988617,0.04829172246472169,0.542016806722689,2021-01-04,2026-09-10,2021_2026,MODERN10,10.0
ALL40,overnight,1428,3.6407925836534334,9.174797310806653,9.115489578979359,9.482514603994293,0.9675489776669555,2.303227258372789,0.021266059916514424,0.5574229691876751,2021-01-04,2026-09-10,2021_2026,ALL40,40.0
ALL40,intraday,1428,3.098118578092132,7.807258816792173,7.168713944319356,13.325426801425658,0.5858918391984932,1.3947015455011251,0.16310585865663207,0.5294117647058824,2021-01-04,2026-09-10,2021_2026,ALL40,40.0
ALL40,total,1428,6.713296752595267,16.917507816540073,16.927803908777143,15.975100578853057,1.0589922569210313,2.5209058030608693,0.011705318219076943,0.5497198879551821,2021-01-04,2026-09-10,2021_2026,ALL40,40.0
SPY,overnight,753,5.670672474936062,14.290094636838877,14.829768092292936,9.568936921766925,1.4933837221073645,2.581479204755775,0.00983779181242328,0.5949535192563081,2023-09-11,2026-09-10,last3y,SPY,
SPY,intraday,753,2.3857028431433607,6.011971164721269,5.335057577088813,12.855788289536079,0.4676470263293531,0.8083796922143699,0.4188720388356517,0.5351925630810093,2023-09-11,2026-09-10,last3y,SPY,
SPY,total,753,8.015432823305845,20.19889071473073,20.956002335654357,15.324243372079504,1.3181003606046058,2.2784824960327574,0.022697846221696683,0.5670650730411687,2023-09-11,2026-09-10,last3y,SPY,
QQQ,overnight,753,7.915764282395099,19.947725991635647,21.042230733270557,12.980989075342547,1.5366876804115377,2.6563348940143174,0.00789951225103147,0.5883134130146083,2023-09-11,2026-09-10,last3y,QQQ,
QQQ,intraday,753,1.731027186112173,4.362188509002676,3.045422348047174,16.591547971458084,0.2629163063330083,0.45447996207706426,0.6494834110477208,0.5325365205843293,2023-09-11,2026-09-10,last3y,QQQ,
QQQ,total,753,9.598028146109746,24.18703092819656,24.728477878596184,20.45783157775096,1.182287127365997,2.0437142766220275,0.04098178199196667,0.5737051792828686,2023-09-11,2026-09-10,last3y,QQQ,
IWM,overnight,753,7.158908882199345,18.04045038314235,18.604461784885583,13.944283336985434,1.2937524250738908,2.2363943921376785,0.0253259481622663,0.5524568393094289,2023-09-11,2026-09-10,last3y,IWM,
IWM,intraday,753,0.23620881093100116,0.5952462035461229,-0.9011950244637381,17.36975644356146,0.03426911629303622,0.05923796393802548,0.952762571870946,0.4940239043824701,2023-09-11,2026-09-10,last3y,IWM,
IWM,total,753,7.298137313799817,18.39130603077554,17.535604276488282,21.15500636638368,0.8693595129330809,1.5027842281061183,0.13289469432831513,0.5338645418326693,2023-09-11,2026-09-10,last3y,IWM,
RSP,overnight,753,5.6787683313402875,14.310496194977523,15.021516912845406,7.903195683227489,1.810722746666629,3.1300348643830387,0.001747855574047552,0.5869853917662683,2023-09-11,2026-09-10,last3y,RSP,
RSP,intraday,753,0.2554690529512588,0.6437820134371721,-0.059947227784499936,11.921858320018623,0.05400013958865488,0.09334522356069962,0.9256293056879188,0.5046480743691899,2023-09-11,2026-09-10,last3y,RSP,
RSP,total,753,5.917260353567514,14.911496090990134,14.952564702100576,13.971653114181649,1.0672678436207752,1.8448907025206573,0.06505343942605446,0.5391766268260292,2023-09-11,2026-09-10,last3y,RSP,
DIA,overnight,753,3.6927160906803858,9.305644548514572,9.352298249144585,8.535567273274216,1.0902198120623514,1.8845657226531454,0.05948849375542142,0.5630810092961488,2023-09-11,2026-09-10,last3y,DIA,
DIA,intraday,753,2.765762280203708,6.969720946113343,6.51539170518517,11.526617210875735,0.6046631738180035,1.045227282168395,0.2959179370397238,0.5272244355909694,2023-09-11,2026-09-10,last3y,DIA,
DIA,total,753,6.424152902782314,16.18886531501143,16.477028818698628,13.681835358559303,1.1832378398621601,2.0453576884941507,0.04081960714056221,0.5577689243027888,2023-09-11,2026-09-10,last3y,DIA,
MDY,overnight,753,4.568477005076866,11.512562052793703,11.48416403038244,11.295064507059921,1.0192559808399357,1.761896878819789,0.07808672206892453,0.5630810092961488,2023-09-11,2026-09-10,last3y,MDY,
MDY,intraday,753,1.3541000144427604,3.4123320363957563,2.3128626773997585,15.07901738966957,0.22629671073484534,0.391178934267664,0.6956649782391313,0.5099601593625498,2023-09-11,2026-09-10,last3y,MDY,
MDY,total,753,5.8589068634883175,14.76444529599056,14.062639651452274,17.943636643161494,0.8228234660345423,1.4223415156526875,0.1549271323205632,0.5205843293492696,2023-09-11,2026-09-10,last3y,MDY,
XLK,overnight,753,9.503783373274402,23.949534100651494,25.37706645038085,16.26014106269346,1.472898298256479,2.5460678801987857,0.010894400122538173,0.5790172642762285,2023-09-11,2026-09-10,last3y,XLK,
XLK,intraday,753,2.206587816033041,5.560601296403263,3.6338643764653416,20.038332086322395,0.2774982105521035,0.47968639894261117,0.6314504005666157,0.5365205843293492,2023-09-11,2026-09-10,last3y,XLK,
XLK,total,753,11.639873257313251,29.332480608429396,29.933099004378544,25.095834049136357,1.1688187191148103,2.0204326408931097,0.04333853053231995,0.5936254980079682,2023-09-11,2026-09-10,last3y,XLK,
XLF,overnight,753,3.4435398640306665,8.67772045735728,8.570107417193658,9.539372488033509,0.909674139283573,1.5724725259164334,0.11584100595367319,0.549800796812749,2023-09-11,2026-09-10,last3y,XLF,
XLF,intraday,753,4.442102936215893,11.19409939926405,10.833570236208121,13.511100873943985,0.8285112740777291,1.432173521966115,0.15209416743395088,0.5577689243027888,2023-09-11,2026-09-10,last3y,XLF,
XLF,total,753,7.863525927138616,19.81608533638931,20.33212625976202,16.13371617225846,1.2282406064922973,2.123149956142709,0.033741287954892174,0.5511288180610889,2023-09-11,2026-09-10,last3y,XLF,
LARGECAP30,overnight,753,4.4214289964183004,11.142001070974118,11.461974853156853,7.595756753288647,1.466871759176608,2.535650339762908,0.011223873994490097,0.5710491367861886,2023-09-11,2026-09-10,last3y,LARGECAP30,30.0
LARGECAP30,intraday,753,3.0921231642878264,7.792150374005323,7.447727030626468,11.088955782105991,0.7026946925498023,1.214685622493449,0.2244860181912931,0.5192563081009296,2023-09-11,2026-09-10,last3y,LARGECAP30,30.0
LARGECAP30,total,753,7.495861224890629,18.889570286724386,19.78990913033956,12.875862674037872,1.4670527921062875,2.5359632752371772,0.011213849339037019,0.549800796812749,2023-09-11,2026-09-10,last3y,LARGECAP30,30.0
MODERN10,overnight,753,7.914870746463606,19.945474281088288,20.59735078284249,15.535126658371187,1.2838951828140108,2.2193550568794826,0.026462578691205607,0.5723771580345286,2023-09-11,2026-09-10,last3y,MODERN10,10.0
MODERN10,intraday,753,3.6444193201269264,9.183936686719854,7.525607924563859,19.725340079934973,0.46559079080527216,0.8048252613156559,0.4209205221063441,0.5431606905710491,2023-09-11,2026-09-10,last3y,MODERN10,10.0
MODERN10,total,753,11.468401341339607,28.90037138017581,29.65340279030823,24.230564119893156,1.1927238357793237,2.061755283321286,0.03923104032538083,0.548472775564409,2023-09-11,2026-09-10,last3y,MODERN10,10.0
ALL40,overnight,753,5.294789433929628,13.342869373502664,13.823694015292794,8.845520938290862,1.508432286417806,2.607492315287083,0.009120811778243976,0.5803452855245684,2023-09-11,2026-09-10,last3y,ALL40,40.0
ALL40,intraday,753,3.2301972032476027,8.140096952183958,7.724603872633455,11.895024617649689,0.6843278777335009,1.1829365483579843,0.23683429545028067,0.5312084993359893,2023-09-11,2026-09-10,last3y,ALL40,40.0
ALL40,total,753,8.488996254002874,21.392270560087244,22.634448871420933,14.037516348547433,1.5239355758471378,2.634291468562073,0.008431307651541875,0.5710491367861886,2023-09-11,2026-09-10,last3y,ALL40,40.0
SPY,overnight,5521,4.228847294753728,10.656695182779394,10.670189955180014,10.145992881896737,1.0503353695224735,4.916279818817701,8.820429897582471e-07,0.5656583952182576,1993-02-01,2014-12-31,pre2015,SPY,
SPY,intraday,5521,0.027373039299684702,0.06898005903520546,-1.2224250096431437,16.11408069676988,0.004280731884942884,0.020036720067117434,0.9840140800614232,0.5172975910161203,1993-02-01,2014-12-31,pre2015,SPY,
SPY,total,5521,4.254813431209013,10.722129846646713,9.317329874948346,19.04275388482219,0.5630556332082128,2.635481129871567,0.008401809723511455,0.5374026444484695,1993-02-01,2014-12-31,pre2015,SPY,
QQQ,overnight,3979,5.973811946107481,15.054006104190854,14.984318974750552,14.755457003060277,1.0202331314488366,4.054022195111448,5.034443660845156e-05,0.5546619753706962,1999-03-11,2014-12-31,pre2015,QQQ,
QQQ,intraday,3979,-2.1618725404782495,-5.447918802005189,-8.567207688640815,26.52663711739511,-0.2053754035196818,-0.8160844992520352,0.4144518087881526,0.5129429504900729,1999-03-11,2014-12-31,pre2015,QQQ,
QQQ,total,3979,3.773988152491911,9.510450144279616,5.133373558814459,30.06648795392589,0.31631396918900206,1.2569125743789087,0.20878529474134844,0.5340537823573762,1999-03-11,2014-12-31,pre2015,QQQ,
IWM,overnight,3671,5.280726287832219,13.30743024533719,13.31091088346482,12.717616215755442,1.046377718872429,3.9937456756361036,6.503762346588005e-05,0.5592481612639608,2000-05-30,2014-12-31,pre2015,IWM,
IWM,intraday,3671,-0.8642430344475711,-2.177892446807879,-4.4845259783157365,21.94390602403593,-0.09924816686793853,-0.3788038775049303,0.7048335077639452,0.5129392536093708,2000-05-30,2014-12-31,pre2015,IWM,
IWM,total,3671,4.379665210183234,11.036756329661749,8.229453648629672,24.990241120210595,0.4416426506879875,1.6856326301197309,0.09186658028287376,0.5317352220103514,2000-05-30,2014-12-31,pre2015,IWM,
RSP,overnight,2938,6.080833814630399,15.323701212868606,15.754706253746686,11.723505565374506,1.3070920747568302,4.463050559509963,8.080097753104809e-06,0.5738597685500341,2003-05-02,2014-12-31,pre2015,RSP,
RSP,intraday,2938,-0.7125287075767591,-1.795572343093433,-3.3646463319658197,18.038097589630816,-0.09954333233708727,-0.3398895408077311,0.733939713471339,0.5234853641933288,2003-05-02,2014-12-31,pre2015,RSP,
RSP,total,2938,5.355155103628978,13.494990861145025,11.859969775702202,21.37069132293238,0.631471890975463,2.1561533657505842,0.03107169159545009,0.5530973451327433,2003-05-02,2014-12-31,pre2015,RSP,
DIA,overnight,4265,2.8372845546240515,7.14995707765261,6.854155622842857,10.182622292777177,0.7021724730695628,2.8887040305352487,0.003868329825233996,0.5498241500586166,1998-01-21,2014-12-31,pre2015,DIA,
