label,n,mean_pct,median_pct,t_naive,p_naive,t_nw,p_nw,n_eff,hit_rate,quad,horizon_m,spec,archetype,preferred
IWD,111,8.77484493881115,12.168024447197734,4.90029184169284,9.569439898271526e-07,2.038569656595268,0.04149299618549218,19.210125349592754,0.7387387387387387,Q1,12,lagged,A,False
VTV,108,9.251119149589194,10.86038376623022,5.3104149671415,1.093759074421996e-07,2.1898220683602556,0.028537143603390103,18.36472771121108,0.7592592592592593,Q1,12,lagged,-,False
SPLV,70,11.145011245904596,14.077600627951337,10.439091899156214,0.0,5.105995995390222,3.2905665836580056e-07,16.746865717759007,0.8428571428571429,Q1,12,lagged,-,False
USMV,65,10.879025592635642,13.655053282078722,9.31094830900478,0.0,4.02114173320748,5.7916742745689476e-05,12.123395890841646,0.8461538461538461,Q1,12,lagged,-,False
IWO,37,10.027741974966846,12.44752361524224,6.367474507403323,1.9216583879710925e-10,5.126825004297626,2.946691708416438e-07,23.98635636930112,0.8648648648648649,Q2,12,lagged,D,False
XBI,22,18.877861496247693,17.55922268663902,6.839361991184105,7.954525926834322e-12,5.245093204703147,1.562033420388076e-07,12.938916783402709,0.9545454545454546,Q2,12,lagged,-,False
ARKK,11,34.26457154508727,33.31570019667281,3.4030304496306867,0.0006664285298567663,3.324004856655672,0.0008873465059058283,10.49504522274782,0.8181818181818182,Q2,12,lagged,-,False
QQQ,37,12.559602498610328,10.161283319869142,6.521118491034951,6.978506661425854e-11,3.9250134964510104,8.672487546590446e-05,13.404167611864608,0.8918918918918919,Q2,12,lagged,C,False
IWF,37,11.407040985197158,9.476541885557644,6.674091567849309,2.4876989357380808e-11,4.1797354802204145,2.918483731750854e-05,14.511589943277185,0.8648648648648649,Q2,12,lagged,-,False
SPY,37,9.87285500371049,10.544173748075568,6.389967372897914,1.6592105467339024e-10,4.834867812596599,1.332341404536308e-06,21.182326228137388,0.8648648648648649,Q2,12,lagged,B,True
IWD,37,8.814536726712067,11.40579547724736,5.010066609159041,5.44111996569896e-07,2.819609085785995,0.00480821849651214,11.719053232824178,0.8108108108108109,Q2,12,lagged,A,False
VTV,37,9.603617643469974,12.59821162317396,5.2990623311973275,1.1639889585524088e-07,3.201905954273057,0.0013652156127368364,13.508925654087147,0.8108108108108109,Q2,12,lagged,-,False
SPLV,11,6.719482847524698,8.568047946631419,4.192463975650761,2.7594091116744934e-05,4.8751762903832265,1.0871132762879654e-06,14.8742355785406,0.9090909090909091,Q2,12,lagged,-,False
USMV,11,10.23371602887035,11.071056392365897,6.033606600697318,1.6034014116428352e-09,11.406224607660782,0.0,39.31176504083036,0.9090909090909091,Q2,12,lagged,-,False
IWO,45,16.008305883111344,14.68136644755964,5.165528613193966,2.3976034535522217e-07,4.8188218480978415,1.4440842586171954e-06,39.16198638679502,0.8222222222222222,Q3,12,lagged,D,False
XBI,40,24.217821762726267,25.844717425188,5.0026526034540515,5.654678729705154e-07,2.433824490695182,0.014940237370121512,9.467554510629654,0.75,Q3,12,lagged,-,False
ARKK,20,20.05591096088902,17.03390162246051,3.3486706446681627,0.0008120025943525455,2.5991367181821268,0.009345854244200869,12.048788328300182,0.6,Q3,12,lagged,-,False
QQQ,45,16.00978941737162,17.002830927559298,5.928684629665909,3.0537092854387993e-09,4.864404269923089,1.1480205381886321e-06,30.293896521191915,0.9333333333333333,Q3,12,lagged,C,True
IWF,45,12.75769680365278,13.2772623564275,5.242553144667504,1.5836975597594005e-07,5.2661773353935875,1.392937361011093e-07,45.406475172766775,0.9333333333333333,Q3,12,lagged,-,False
SPY,45,14.464001672423453,16.329785011844635,5.957095583745971,2.5676007986419336e-09,5.984933992845766,2.1647763581711388e-09,45.42156634438703,0.9555555555555556,Q3,12,lagged,B,False
IWD,45,16.23933826023568,16.573300856913974,6.057316047099187,1.3841148227555777e-09,6.574584510846768,4.8789194906362354e-11,53.0137676320272,0.8666666666666667,Q3,12,lagged,A,False
