n_is,mean_pct_is,std_pct_is,median_pct_is,win_rate_is,mean_R_is,t_is,p_is,breakeven_bps_is,mean_risk_pct_is,trades_per_yr_is,symbol,n_min,entry_rule,stop,target,direction_mode,window_is,n_oos,mean_pct_oos,std_pct_oos,median_pct_oos,win_rate_oos,mean_R_oos,t_oos,p_oos,breakeven_bps_oos,mean_risk_pct_oos,trades_per_yr_oos,window_oos
410,0.35372429306287234,2.000534368065507,0.055294566137624346,0.5146341463414634,0.23548127429678767,3.5802289414428037,0.00034329329472759795,35.37242930628723,1.5689898344377324,72.37916868052199,NVDA,5,close,or,eod,long_only,is_2021_2024M05,287,0.024662021758646863,1.7637782775078505,-0.3907488930895884,0.4250871080139373,-0.01089448233595221,0.23687849514092288,0.8127510536393405,2.4662021758646864,1.3870606833937993,50.66541807636539,oos_2024M06_2026M09
444,-0.0066297834422080785,1.9914994557854828,-0.5565209422153862,0.42567567567567566,0.05221371539809825,-0.0701472476937743,0.9440764610719103,-0.6629783442208078,1.6046792661246567,78.38134364427259,NVDA,5,close,or,eod,short_only,is_2021_2024M05,274,0.12317947817747525,1.7894333631904438,-0.34363714435074233,0.45255474452554745,0.07073600452456574,1.139457446892883,0.25451240710921796,12.317947817747525,1.4336761592166358,48.37046882551957,oos_2024M06_2026M09
854,0.16637393010238558,2.0027892335102764,-0.2666375098645952,0.468384074941452,0.14019931159067747,2.427610252377354,0.015198666504813385,16.637393010238558,1.587544995642644,150.76051232479458,NVDA,5,close,or,eod,long_short,is_2021_2024M05,561,0.07277928211294098,1.7754513677035246,-0.366120239572495,0.4385026737967914,0.02897495331428294,0.9709132261366106,0.33159149133417154,7.277928211294098,1.4098283132965748,99.03588690188496,oos_2024M06_2026M09
416,-0.052373440153063965,0.6090308408952196,-0.2715502953831208,0.4735576923076923,-0.07065837241586836,-1.7539551392301465,0.07943819432345212,-5.237344015306396,0.47305250211718225,73.43837602706621,NVDA,5,touch,atr10,1R,long_only,is_2021_2024M05,279,-0.006827334392679237,0.7286988906641876,0.21831208033018892,0.5017921146953405,0.042842062709945554,-0.15649669408732936,0.8756415248751195,-0.6827334392679237,0.6362300018269114,49.25314161430643,oos_2024M06_2026M09
428,-0.016719747836672814,0.6131752338852643,-0.24997027824261864,0.4883177570093458,-0.02084143058651933,-0.5641141614367576,0.5726764409411187,-1.6719747836672814,0.46685694980404646,75.55679072015467,NVDA,5,touch,atr10,1R,short_only,is_2021_2024M05,284,0.03393471981612742,0.6522280744143444,0.2592596600569641,0.5422535211267606,0.14303059651162978,0.8768068805937824,0.3805915412195824,3.3934719816127417,0.5453697649339936,50.13581440309328,oos_2024M06_2026M09
844,-0.03429313172721631,0.6110338572925078,-0.26364847982713,0.48104265402843605,-0.04539575262562976,-1.6304710644726501,0.10300197587971405,-3.4293131727216313,0.46991068174985745,148.99516674722088,NVDA,5,touch,atr10,1R,long_short,is_2021_2024M05,563,0.01373469650483602,0.6908670011545267,0.2532605771673603,0.522202486678508,0.0933812165282019,0.4717140537303184,0.637130904504261,1.373469650483602,0.5903964187406083,99.3889560173997,oos_2024M06_2026M09
416,-0.04084657118894152,0.7231514606870946,-0.33299215500410995,0.3557692307692308,-0.04257181688785964,-1.1520544443504384,0.24929870145844113,-4.084657118894152,0.47305250211718225,73.43837602706621,NVDA,5,touch,atr10,2R,long_only,is_2021_2024M05,279,-0.061863607583883796,0.7941660216216205,-0.3126388559349495,0.3333333333333333,-0.07093424418795041,-1.301146033514482,0.19320847340878045,-6.186360758388379,0.6362300018269114,49.25314161430643,oos_2024M06_2026M09
428,0.022247307854117777,0.7544106773117512,-0.31622683261182577,0.3855140186915888,0.06975612780961755,0.6100866511487781,0.5418044088180038,2.224730785411778,0.46685694980404646,75.55679072015467,NVDA,5,touch,atr10,2R,short_only,is_2021_2024M05,284,0.07858394215197632,0.7797904547112234,-0.28198228193725133,0.426056338028169,0.24973879805160018,1.6983025692059657,0.08945067007457874,7.858394215197633,0.5453697649339936,50.13581440309328,oos_2024M06_2026M09
844,-0.00885109698227164,0.7394044501667609,-0.3260763142989791,0.3708530805687204,0.014390695352093247,-0.34776531333824984,0.7280164414790822,-0.885109698227164,0.46991068174985745,148.99516674722088,NVDA,5,touch,atr10,2R,long_short,is_2021_2024M05,563,0.008983824254454171,0.7893816645786942,-0.299411764705883,0.38010657193605685,0.09082622472152094,0.2700401933862715,0.787129331981854,0.8983824254454171,0.5903964187406083,99.3889560173997,oos_2024M06_2026M09
416,-0.018139381324491197,0.842700350353517,-0.35669216595530845,0.2980769230769231,0.02078665533677171,-0.4390317830022491,0.6606385069018046,-1.8139381324491197,0.47305250211718225,73.43837602706621,NVDA,5,touch,atr10,3R,long_only,is_2021_2024M05,279,-0.05443759669962411,0.879446957820599,-0.3276611660840148,0.2616487455197133,-0.06761949402599665,-1.033930613575821,0.30116860211495045,-5.443759669962411,0.6362300018269114,49.25314161430643,oos_2024M06_2026M09
