entry,hold,round_trip_bps,n,mean_pct,total_pct,win_rate,t,p,breakeven_bps
c1_rsi_gt60,3,2,49854,0.14189418134715023,7073.992516880828,0.5345208007381554,10.93759879102402,0.0,16.18941813471502
c1_rsi_gt60,3,5,49854,0.11189418134715022,5578.372516880827,0.5283628194327437,8.625115216183545,0.0,16.18941813471502
c1_rsi_gt60,3,10,49854,0.06189418134715021,3085.6725168808266,0.5169294339471256,4.770975924782753,1.8333545512838612e-06,16.18941813471502
c1_rsi_gt60,3,20,49854,-0.03810581865284984,-1899.7274831191762,0.496289164359931,-2.9373026580188357,0.0033108081258679256,16.18941813471502
f_relvol_up,3,0,6927,-0.0048303758843642325,-33.46001375099104,0.5085895770174679,-0.10244029117541287,0.9184072041379423,-0.48303758843642325
f_relvol_up,3,2,6927,-0.024830375884364212,-172.0000137509909,0.5049805110437419,-0.5265906828954801,0.5984778634955097,-0.48303758843642325
f_relvol_up,3,5,6927,-0.054830375884364284,-379.8100137509914,0.4997834560415764,-1.1628162704755831,0.2449040543339951,-0.48303758843642325
f_relvol_up,3,10,6927,-0.10483037588436424,-726.1600137509911,0.49126606034358306,-2.2231922497757513,0.02620283921837352,-0.48303758843642325
f_relvol_up,3,20,6927,-0.20483037588436426,-1418.8600137509911,0.47885087339396565,-4.34394420837609,1.3994707118047955e-05,-0.48303758843642325
g_adx_bull,3,0,39089,0.15490229417594906,6054.975777043673,0.5338074650157333,10.00136232267249,0.0,15.490229417594906
g_adx_bull,3,2,39089,0.13490229417594912,5273.195777043675,0.5296374939241218,8.710049966599547,0.0,15.490229417594906
g_adx_bull,3,5,39089,0.10490229417594911,4100.525777043675,0.5234464938985393,6.773081432490122,1.2606804489223578e-11,15.490229417594906
g_adx_bull,3,10,39089,0.054902294175949065,2146.075777043673,0.5116784773209855,3.544800542307747,0.0003929102866753187,15.490229417594906
g_adx_bull,3,20,39089,-0.04509770582405096,-1762.824222956328,0.4911100309550001,-2.9117612380569997,0.0035939723711200244,15.490229417594906
b1_ma20_up,3,0,84235,0.16945058673107585,14273.670173292176,0.5362141627589482,16.23698691885925,0.0,16.945058673107585
b1_ma20_up,3,2,84235,0.14945058673107592,12588.97017329218,0.5321897073662967,14.320559571855977,0.0,16.945058673107585
b1_ma20_up,3,5,84235,0.11945058673107589,10061.920173292177,0.526218317801389,11.445918551351053,0.0,16.945058673107585
b1_ma20_up,3,10,84235,0.06945058673107586,5850.170173292176,0.5154626936546566,6.654850183842848,2.8358870807210224e-11,16.945058673107585
b1_ma20_up,3,20,84235,-0.030549413268924165,-2573.329826707827,0.49615955362972636,-2.927286551173558,0.0034193367923751605,16.945058673107585
a3_ret20_topdec,3,0,17610,0.31568892084610795,5559.281896099961,0.5429301533219761,10.98447956821129,0.0,31.568892084610795
a3_ret20_topdec,3,2,17610,0.29568892084610804,5207.081896099962,0.539579784213515,10.28857427392534,0.0,31.568892084610795
a3_ret20_topdec,3,5,17610,0.26568892084610796,4678.781896099961,0.5346961953435548,9.244716332496406,0.0,31.568892084610795
a3_ret20_topdec,3,10,17610,0.21568892084610797,3798.281896099961,0.5263486655309483,7.504953096781524,6.128431095930864e-14,31.568892084610795
a3_ret20_topdec,3,20,17610,0.1156889208461079,2037.2818960999602,0.5090857467348098,4.025426625351755,5.68721123526128e-05,31.568892084610795
d_macd_cross_up,3,0,6857,0.19060954740878644,1307.0096665820486,0.5393029021437946,5.051200835921657,4.3904114743753553e-07,19.060954740878643
d_macd_cross_up,3,2,6857,0.1706095474087865,1169.8696665820491,0.5353653201108356,4.521195817328469,6.14912727003869e-06,19.060954740878643
d_macd_cross_up,3,5,6857,0.14060954740878645,964.1596665820488,0.5288026833892373,3.7261882894386855,0.00019439721139624666,19.060954740878643
d_macd_cross_up,3,10,6857,0.09060954740878646,621.3096665820487,0.5177191191483156,2.401175742955714,0.016342485667127704,19.060954740878643
d_macd_cross_up,3,20,6857,-0.009390452591213608,-64.39033341795171,0.49715619075397405,-0.24884935001023126,0.8034773157660142,19.060954740878643
