offset,quad,label,archetype,n,mean_pct,t,p
9,Q4,QQQ,C,7,23.788412461775263,5.862114712734042,4.570090972322305e-09
9,Q4,SPY,B,7,17.69033048450548,4.562329609723439,5.058914508637713e-06
9,Q4,IWD,A,7,13.49927844307838,3.3378563658107363,0.000844273803117801
10,Q1,IWO,D,10,9.654733240056737,1.1909367062057867,0.23367843327465643
10,Q1,QQQ,C,10,15.74368018301052,1.6649559132618643,0.09592155177765682
10,Q1,SPY,B,10,9.000607924385479,1.3896599801176133,0.16463215273863718
10,Q1,IWD,A,10,6.701753842262318,1.1159547819930706,0.2644414905834229
10,Q2,IWO,D,3,9.126944737098846,4.416498418746945,1.0031263441012683e-05
10,Q2,QQQ,C,3,10.21949601844312,3.064755347508355,0.002178481211554617
10,Q2,SPY,B,3,10.018819577036304,4.903285255956356,9.424696567617019e-07
10,Q2,IWD,A,3,11.010144408936158,2.260554251471097,0.02378687338592833
10,Q3,IWO,D,4,7.8565033647006395,4.433079341268137,9.289666053957646e-06
10,Q3,QQQ,C,4,13.725298044283024,3.460672133535379,0.0005388286261320818
10,Q3,SPY,B,4,12.925695177015678,7.125074859844215,1.0402789740737717e-12
10,Q3,IWD,A,4,14.022777688513822,4.843467282070189,1.2759273952944739e-06
10,Q4,IWO,D,5,15.447596969460363,2.0399419375160925,0.04135610910822862
10,Q4,QQQ,C,5,26.195943964103442,5.745062264557515,9.188716898478333e-09
10,Q4,SPY,B,5,18.482011687314383,3.9491902499143787,7.841601023317324e-05
10,Q4,IWD,A,5,11.83888493099289,2.341816888548727,0.01919012740024928
11,Q1,IWO,D,12,9.16545655321018,1.2799771661863497,0.20055316656114863
11,Q1,QQQ,C,12,14.477324803844644,1.7505079706772508,0.08003069998308265
11,Q1,SPY,B,12,9.090582619584257,1.5789617618793597,0.11434482805468194
11,Q1,IWD,A,12,7.75560195639953,1.467271289438955,0.1423022706438708
11,Q2,IWO,D,3,8.021899487457219,2.962200537568568,0.003054487726635635
11,Q2,QQQ,C,3,9.245839904581638,1.7955227013436597,0.07257045916487415
11,Q2,SPY,B,3,8.606586470156374,2.377201470547839,0.017444557143776684
11,Q2,IWD,A,3,9.46711404864179,1.382305547212556,0.16687790345477493
11,Q4,IWO,D,5,14.968064719012633,2.3049110696779915,0.021171554520170277
11,Q4,QQQ,C,5,30.386547708247097,3.3642635623769346,0.0007674821265557519
11,Q4,SPY,B,5,19.884496378166087,3.1549388805716556,0.001605317311336396
11,Q4,IWD,A,5,11.326890774974348,2.030286206202035,0.04232745550373962
