start,n,terminal,per_dollar,irr
2009-07,206,832272.1660702868,4.040156145972266,0.14735990850642633
2009-08,205,821852.036847587,4.00903432608579,0.14736570071748223
2009-09,204,811793.8879998282,3.9793818039207265,0.14740154390894422
2009-10,203,802097.0345928652,3.9512169191766757,0.14746918501801387
2009-11,202,792215.6333080159,3.921859570831762,0.14750096414077807
2009-12,201,782891.9250021036,3.894984701503003,0.1475913292374722
2010-01,200,773746.215808735,3.868731079043675,0.14769346924583315
2010-02,199,764258.5959465082,3.8404954570176293,0.14773819880685712
2010-03,198,755055.5188543343,3.8134117113855264,0.1478082502710274
2010-04,197,746374.6835807288,3.7887039775671516,0.14793831705820315
2010-05,196,737828.7077613889,3.7644321824560656,0.14807676848083484
2010-06,195,728540.0058359859,3.736102594030697,0.14809725951492703
2010-07,194,718736.6561269384,3.704828124365662,0.14802672158557173
2010-08,193,709574.3088937303,3.6765508232835766,0.14803378818160184
2010-09,192,699977.2371928883,3.645714777046293,0.14795829138255057
2010-10,191,691165.654335576,3.6186683473066807,0.1479864073975372
2010-11,190,682675.6974873359,3.593029986775452,0.14805049306841545
2010-12,189,674185.7406390958,3.5671203208417768,0.14810053832973424
2011-01,188,666226.6986102973,3.543759035161156,0.14822371916050248
2011-02,187,658450.939844099,3.521128020556679,0.148365704036866
2011-03,186,650932.0502987679,3.499634679025634,0.1485402345600304
2011-04,185,643415.3769220571,3.477920956335444,0.1487046943808199
2011-05,184,636113.941663191,3.457140987299951,0.14889645172327115
2011-06,183,628727.9091264547,3.4356716345707907,0.14906277320597439
2011-07,182,621216.1653891251,3.413275634006182,0.14919469636573646
2011-08,181,613547.4550959733,3.3897649452816205,0.1492844484871838
2011-09,180,605437.0102712171,3.363538945951206,0.14927504925403157
2011-10,179,596710.6300585953,3.333578938874834,0.14912643230892586
2011-11,178,588842.9141975709,3.308106259536915,0.14912501023057168
2011-12,177,580956.7708045279,3.2822416429634345,0.1491012979128643
2012-01,176,573150.4443370191,3.256536615551245,0.1490745992181084
2012-02,175,565677.744826313,3.23244425615036,0.1490989211821201
2012-03,174,558513.5935963355,3.2098482390593994,0.14917218540470634
2012-04,173,551577.1501129898,3.1883072260866463,0.14927965225200657
2012-05,172,544596.0602063707,3.166256163990527,0.14936212323747466
2012-06,171,537167.9580616038,3.1413330880795547,0.1493256520875399
2012-07,170,530033.2811685085,3.117842830402991,0.14933689252267968
2012-08,169,522995.025955864,3.0946451239991952,0.14935186187071703
2012-09,168,516110.9271312024,3.072088851971443,0.1493851439457312
2012-10,167,509399.741086399,3.0502978508167606,0.1494427803757592
2012-11,166,502561.3927872809,3.027478269802897,0.14944998454674674
2012-12,165,495761.12527064927,3.0046128804281773,0.14944677705714748
