sample,entry,label,hold,n,mean_pct,median_pct,win_rate,std_pct,t_pooled,t_dateclust,base_rate_pct,excess_pct,n_days,p_pooled,p_dateclust,t_excess_welch,p_excess_welch,t_excess_dateclust,p_excess_dateclust,mean_net5bps,t_net5bps_pooled,t_net5bps_dateclust,breakeven_bps,signals_per_day
full,c1_rsi_gt60,(c) RSI(14)>60,10,49735,0.552670105579219,0.5454754955660279,0.5587815421735196,5.3390801037096836,23.085038236852228,3.896556503222146,0.6620701698885918,-0.10940006430937277,2820.0,0.0,9.757005232380322e-05,-5.166028108664254,2.3912084623489704e-07,-0.3186484042895216,0.7499931439133061,0.5026701055792191,20.996537519714813,3.584977727513974,55.2670105579219,16.92242259271861
full,c1_rsi_gt60_INV,(c-inv) RSI(14)<40,10,27132,0.9736465389728101,0.9983584510477095,0.5802005012531328,7.132655200498337,22.48490196080392,4.203294444539852,0.6620701698885918,0.31157636908421826,2768.0,0.0,2.630580391049797e-05,8.068191655441968,6.661338147750939e-16,1.551094396189663,0.12087906393386039,0.9236465389728103,21.330227186089207,3.9438579225189647,97.364653897281,9.2317114664852
full,c2_rsi_gt70,(c) RSI(14)>70,10,14015,0.560518936785326,0.5104938286900396,0.5560470924009989,5.453493470455089,12.167799451731161,3.102953086281796,0.6620701698885918,-0.10155123310326575,2344.0,0.0,0.001916000104255966,-2.28041793874143,0.02258291268439483,-0.006701004702501102,0.9946534118194252,0.510518936785326,11.082394601583223,2.831861875824258,56.05189367853261,4.768628785301122
full,c2_rsi_gt70_INV,(c-inv) RSI(14)<30,10,5329,0.7465894216813408,1.2587454955436117,0.5916682304372303,9.027633662638246,6.037133297543493,2.1384538616505977,0.6620701698885918,0.084519251792749,1522.0,1.5687613430515057e-09,0.03247992497555252,0.7005629942320079,0.48357577940975194,-0.2875093190263563,0.7737223674719393,0.6965894216813403,5.632819150957557,1.998079012301563,74.65894216813408,1.8132017693092888
full,d_macd_cross_up,(d) MACD bullish crossover,10,6841,0.6283934881391632,0.5523428312983913,0.5515275544511037,5.802837056309401,8.95676326093117,2.8553823092292263,0.6620701698885918,-0.033676681749428616,2186.0,0.0,0.004298505093375926,-0.4892648586907338,0.6246541966715058,-1.8434780465061646,0.06525924414503237,0.5783934881391632,8.244091707995885,2.539758810114798,62.83934881391632,2.3276624702279687
full,d_macd_cross_up_INV,(d-inv) MACD bearish crossover,10,6842,0.6078193771080448,0.6215122456242672,0.5564162525577316,5.965734585050093,8.4275657278957,3.973245816061697,0.6620701698885918,-0.05425079278054701,2197.0,0.0,7.089981262309308e-05,-0.7676052080520837,0.44272176734723745,-0.15157415263064947,0.8795228210332195,0.5578193771080447,7.734303383414895,3.662064872922446,60.78193771080448,2.3280027220142907
full,e_20d_high,(e) new 20-day high,10,14305,0.5322175057470045,0.5745919961226198,0.5602936036350926,5.45981177130329,11.65884197431771,3.536669683453501,0.6620701698885918,-0.12985266414158725,2418.0,0.0,0.0004052061106913918,-2.9450541621178608,0.003228981330493319,-0.01869427116597167,0.9850849984048908,0.48221750574700467,10.563533961294569,3.2324161885521034,53.22175057470046,4.867301803334468
full,e_20d_high_INV,(e-inv) new 20-day low,10,8580,0.976947584140928,1.052983539355301,0.5808857808857809,7.292230095832442,12.409507431626057,3.243993739105421,0.6620701698885918,0.3148774142523362,1856.0,0.0,0.0011786633699042426,4.139033064444049,3.487726867490437e-05,0.13083899418876552,0.8959026752283572,0.926947584140928,11.774391094113525,3.0108919974926525,97.6947584140928,2.9193603266417147
full,f_relvol_up,(f) relvol>1.5 & up day,10,6912,0.33089297884916063,0.40352049100148557,0.5368923611111112,6.721849102044485,4.092612797703477,2.7009974227541482,0.6620701698885918,-0.33117719103943116,2122.0,4.265396396974097e-05,0.006913187421085265,-4.199472063052592,2.6753803525902953e-05,-1.3826921668754943,0.16675927474437469,0.28089297884916076,3.4741933903262807,2.4373012983465787,33.089297884916064,2.351820347056822
full,f_relvol_up_INV,(f-inv) relvol>1.5 & down day,10,7927,0.47210241893121213,0.6877670996797036,0.5527942475085152,7.268738716003757,5.782712445641283,2.7500090690792773,0.6620701698885918,-0.18996775095737967,2050.0,7.350565045527446e-09,0.005959361531687524,-2.401232926518651,0.016339931863120327,-0.1487298302058006,0.8817668219210717,0.4221024189312121,5.170269868167023,2.5126094801235794,47.210241893121214,2.697175910173528
