symbol,date,bucket,time,n_quotes,median_bps,mean_bps,p90_bps,p99_bps,median_abs_spread,median_mid,median_bid_size,median_ask_size
AMD,2022-03-08,10:30-15:30,11:15:00,3515,2.8621857558556636,2.5077698726666853,3.817741050971594,3.825920612146537,0.030000000000001137,104.725,2.0,2.0
AAPL,2022-03-08,10:30-15:30,12:45:00,5701,0.6187544472970272,0.7713280653931613,1.2375471814869272,1.238160094099041,0.010000000000019327,161.725,3.0,3.0
AMD,2022-03-08,10:30-15:30,12:45:00,4299,2.7838351969564457,2.3226114671140237,2.788492819631095,3.7174721189596887,0.029999999999986926,107.685,2.0,2.0
AAPL,2022-03-08,10:30-15:30,14:30:00,4483,1.2558869701715423,0.997835060528247,1.2569920181013279,1.8848364904345258,0.01999999999998181,159.195,3.0,4.0
AMD,2022-03-08,10:30-15:30,14:30:00,4353,1.8703824932194912,2.2971741796974876,2.8049179561498887,3.739715781601183,0.020000000000010232,107.05,2.0,1.0
IWM,2022-03-08,10:30-15:30,14:30:00,1164,1.017501017500092,0.8205838764099042,1.017967119661109,1.526911820842404,0.01999999999998181,196.51,2.0,5.0
AAPL,2022-03-08,15:30-16:00,15:35:00,5897,0.6339345145640689,0.8204673049278055,1.2679092177006612,1.2682308180095265,0.010000000000019327,157.82999999999998,3.0,3.0
AMD,2022-03-08,15:30-16:00,15:35:00,4103,1.8885741265340907,2.190577501390392,2.8332625017708963,3.7760785424342727,0.020000000000010232,105.96000000000001,2.0,2.0
AAPL,2022-03-08,15:30-16:00,15:50:00,9995,1.266464032422127,1.2103177393625735,1.9007191053949468,2.5403470645270247,0.01999999999998181,157.875,2.0,2.0
AAPL,2022-03-08,15:30-16:00,15:58:00,4347,0.6352634755258968,0.664894082756355,0.6356268870185493,1.2708902586250117,0.009999999999990905,157.415,4.0,4.0
AMD,2022-03-08,15:30-16:00,15:58:00,2990,0.9471042288208661,1.176878643093728,1.8939393939390172,1.8948365703454304,0.010000000000005116,105.61,2.0,3.0
IWM,2022-03-08,15:30-16:00,15:58:00,2663,0.5128599635879337,0.6104808240480448,1.0256410256400927,1.0259040779692348,0.010000000000019327,194.995,3.0,6.0
AAPL,2022-05-09,09:30-09:45,09:30:05,5449,2.5813113061430077,2.551471453951286,3.872216844143419,5.1642889419652755,0.03999999999999204,154.95499999999998,2.0,1.0
AMD,2022-05-09,09:30-09:45,09:30:05,3956,5.372011818425696,5.062538397884682,7.5370121130544465,10.73422069557689,0.04999999999999716,93.015,1.0,2.0
IWM,2022-05-09,09:30-09:45,09:30:05,590,1.6683350029582722,1.6325741803187237,2.2250653612945457,2.7800172361059152,0.030000000000001137,179.83499999999998,1.0,2.0
AAPL,2022-05-09,09:30-09:45,09:33:00,6719,1.2939958592120737,1.5835892398603733,2.585850229284903,4.524448178909167,0.020000000000010232,154.68,2.0,2.0
AMD,2022-05-09,09:30-09:45,09:33:00,3278,3.2476319350474845,3.5512676751276446,5.408036342003911,6.48999459167142,0.030000000000001137,92.425,1.0,2.0
AAPL,2022-05-09,09:30-09:45,09:40:00,7404,1.2889089385841483,1.1284054833381392,1.9334257081172386,1.9371710844930188,0.01999999999998181,154.975,2.0,2.0
AMD,2022-05-09,09:30-09:45,09:40:00,2595,2.1659085986567055,1.7547459695606915,2.1677866897892937,3.251151449471811,0.01999999999999602,92.295,2.0,2.0
AAPL,2022-05-09,09:45-10:30,09:50:00,5151,1.2988699831153545,1.1116894525925591,1.947609309572573,1.9498878814468905,0.01999999999998181,153.935,2.0,2.0
AMD,2022-05-09,09:45-10:30,09:50:00,4849,1.0830129420052108,1.6156204395393927,2.164736443339131,3.242380982989593,0.010000000000005116,92.515,2.0,2.0
AAPL,2022-05-09,09:45-10:30,10:10:00,5062,0.653018578377961,0.865451552407151,1.3059092393085363,1.5604522161861656,0.010000000000019327,153.20499999999998,2.0,2.0
AMD,2022-05-09,09:45-10:30,10:10:00,4935,2.1824530772599555,1.6775529454479532,2.18531468531425,3.2770768474521965,0.01999999999999602,91.565,2.0,2.0
AAPL,2022-05-09,10:30-15:30,11:15:00,4478,0.6546859144319556,0.9483515921601955,1.309671927182911,2.61745844784662,0.010000000000019327,152.81,3.0,2.0
AMD,2022-05-09,10:30-15:30,11:15:00,4392,1.1342369420977845,1.6387258756613818,2.2668026748267054,3.39731612026351,0.010000000000005116,88.285,2.0,2.0
IWM,2022-05-09,10:30-15:30,11:15:00,1088,1.1324387067555761,0.978184436419922,1.6980331116457414,2.2641082243726744,0.01999999999998181,176.51,4.0,4.0
AAPL,2022-05-09,10:30-15:30,12:45:00,5093,0.6557592052192468,0.7728727629916701,1.3113034356156725,1.3121637580376742,0.009999999999990905,152.515,3.0,3.0
AMD,2022-05-09,10:30-15:30,12:45:00,3587,1.1321822813478764,1.3079239102140348,2.2634676324140144,2.267573696144674,0.010000000000005116,88.345,3.0,4.0
IWM,2022-05-09,10:30-15:30,12:45:00,1316,0.5658829188235805,0.6574339555461959,1.1316057485577815,1.1318619128472118,0.010000000000005116,176.725,5.0,3.0
AAPL,2022-05-09,10:30-15:30,14:30:00,2866,0.6573109409400142,0.7928214865736598,1.3145786775345232,1.3149243918481412,0.009999999999990905,152.14,4.0,3.0
AMD,2022-05-09,10:30-15:30,14:30:00,1763,1.1665208515608185,1.2662329246241408,2.3314914601537815,2.3334500058331606,0.010000000000005116,85.725,4.0,5.0
IWM,2022-05-09,10:30-15:30,14:30:00,3825,1.1411617026138443,0.8559739392865093,1.1421392267723276,1.1424001827846137,0.01999999999998181,175.165,2.0,6.0
NVDA,2022-05-09,10:30-15:30,14:30:00,1476,2.355019134529999,2.501589452201045,3.532320734721173,4.122861265718007,0.040000000000020464,169.905,2.0,1.0
QQQ,2022-05-09,10:30-15:30,14:30:00,70,1.0057832537098168,0.8189954172814116,1.0058169748368972,1.3410668186549255,0.029999999999972715,298.275,5.5,3.0
AAPL,2022-05-09,15:30-16:00,15:35:00,2966,0.6565772627287946,0.9564131434726671,1.3130252100847055,1.3136288998346015,0.010000000000019327,152.375,3.0,2.0
AMD,2022-05-09,15:30-16:00,15:35:00,2366,1.1574743908796938,1.3121838369487988,2.3145469274384936,2.3172285946003965,0.010000000000005116,86.405,3.0,5.0
IWM,2022-05-09,15:30-16:00,15:35:00,4668,0.5711837783817979,0.8480042596959828,1.142204454597957,1.7130620984995129,0.010000000000019327,175.14999999999998,5.0,3.0
AAPL,2022-05-09,15:30-16:00,15:50:00,9040,0.6594348643225513,0.9810052205867268,1.318913215511094,2.6350461133064584,0.010000000000019327,151.725,2.0,3.0
AMD,2022-05-09,15:30-16:00,15:50:00,954,1.1615076369116564,1.5524845565123684,2.323960027887058,5.194178298478102,0.010000000000005116,86.095,6.0,7.0
AAPL,2022-05-09,15:30-16:00,15:58:00,8270,0.6562756357664252,0.7529992571601849,1.312335958005921,1.9680519565717278,0.009999999999990905,152.385,4.0,4.0
AMD,2022-05-09,15:30-16:00,15:58:00,1596,1.1562698733873973,1.184186962197241,1.1564035848517047,2.3113504657601047,0.010000000000005116,86.48750000000001,14.0,38.5
IWM,2022-05-09,15:30-16:00,15:58:00,35,0.5712816704287084,0.47333741376052135,0.5712816704287084,0.948262958622555,0.010000000000019327,175.04500000000002,4.0,6.0
AAPL,2022-06-13,09:30-09:45,09:30:05,5714,1.5034202811382253,1.587247345382898,2.2603126765870134,3.7637848620581407,0.020000000000010232,133.02499999999998,2.0,2.0
AMD,2022-06-13,09:30-09:45,09:30:05,3511,4.365858982755539,3.9685413021092164,6.547359231776765,7.685129274853971,0.03999999999999204,91.16,1.0,1.0
IWM,2022-06-13,09:30-09:45,09:30:05,773,1.7240883882647704,1.4804472228158982,2.2991148407858395,2.2993791676242843,0.030000000000001137,173.97500000000002,4.0,1.0
AAPL,2022-06-13,09:30-09:45,09:33:00,6149,1.4966699094501092,1.5476367881322999,2.245593023691091,2.9928918817801753,0.020000000000010232,133.64,2.0,2.0
AMD,2022-06-13,09:30-09:45,09:33:00,3451,3.265306122449103,3.2913789561906803,5.435077993368896,6.52386647819966,0.030000000000001137,91.89,3.0,2.0
IWM,2022-06-13,09:30-09:45,09:33:00,400,1.147381102632196,1.1344679513123719,2.294104152328059,2.2947622052676535,0.01999999999998181,174.29500000000002,3.0,3.0
AAPL,2022-06-13,09:30-09:45,09:40:00,3876,1.4983518130064601,1.383035891589653,2.24761191234322,2.24980314222514,0.01999999999998181,133.445,2.0,2.0
AMD,2022-06-13,09:30-09:45,09:40:00,2919,2.199010445299178,2.3428441911655513,3.2990597679662548,4.398504508466246,0.01999999999999602,91.03999999999999,2.0,1.0
IWM,2022-06-13,09:30-09:45,09:40:00,3205,1.154267905581476,1.0522429197078957,1.7314518223531088,1.7326518236161104,0.01999999999998181,173.24,3.0,2.0
AAPL,2022-06-13,09:45-10:30,09:50:00,7687,0.7505535332322083,1.063053188917959,1.5010507355156284,1.5017269860347071,0.010000000000019327,133.35000000000002,2.0,3.0
AMD,2022-06-13,09:45-10:30,09:50:00,2313,2.2060445620997156,2.2673110563940235,3.310710147326727,4.4117972871957605,0.01999999999999602,90.695,2.0,2.0
AAPL,2022-06-13,09:45-10:30,10:10:00,5282,0.745851202686506,1.1182934804651108,1.4906461951263492,2.2352196103267996,0.010000000000019327,134.25,2.0,2.0
AMD,2022-06-13,09:45-10:30,10:10:00,4718,2.222716159146035,1.937913572492724,3.3335185288072817,3.338277699349336,0.01999999999999602,89.965,2.0,2.0
AAPL,2022-06-13,10:30-15:30,11:15:00,3082,0.7503282686168378,0.838236913396744,1.5002625459441759,1.5019525382984236,0.009999999999990905,133.275,3.0,4.0
AMD,2022-06-13,10:30-15:30,11:15:00,3051,1.130262786098346,1.6584424551715322,2.259887005650874,3.38696020321774,0.010000000000005116,88.535,2.0,2.0
IWM,2022-06-13,10:30-15:30,11:15:00,3867,0.5886334873585605,0.7060105843836039,1.1768167107978955,1.1777869383417825,0.009999999999990905,169.935,5.0,6.0
AAPL,2022-06-13,10:30-15:30,12:45:00,2967,0.7439645872849686,0.8649426379561547,1.48754183711493,1.4880952380959995,0.009999999999990905,134.425,3.0,4.0
AMD,2022-06-13,10:30-15:30,12:45:00,3021,1.111172842936287,1.4342473920686953,2.2224691632399174,2.2229632099600125,0.010000000000005116,90.005,3.0,2.0
IWM,2022-06-13,10:30-15:30,12:45:00,3987,0.5807706826954092,0.8085879015288627,1.1615750958305395,1.1617100371736646,0.010000000000019327,172.215,5.0,2.0
