ma,vwap,fill,stop,target,is_n,is_mean_pct,is_win,is_avg_R,is_t,oos_n,oos_mean_pct,oos_win,oos_avg_R,oos_t
ema,rth,nextopen,c20,3R,1150,-0.009875209201230264,0.2817391304347826,-0.02093999999999996,-0.05904102181919868,988,-0.47039866099238864,0.2550607287449393,-0.12804099190283397,-2.7129428644030855
ema,rth,trigger,pullback,1R,1109,-0.023352903885941773,0.5139765554553652,0.03784794640769783,-0.12995650472803627,943,-0.2571522809723496,0.47613997879109227,0.0009925734102907253,-1.1793397797513694
sma,premkt,trigger,c20,3R,1019,-0.023780053797165624,0.30323846908734053,0.018778704612364645,-0.13795364732517112,812,-0.07061897333838003,0.28448275862068967,-0.05812068965517261,-0.3533600660826961
ema,rth,nextopen,pullback,trail,1096,-0.027122617592440737,0.3686131386861314,0.03587155877677377,-0.1330464915157029,948,-0.23675678406684217,0.3459915611814346,-0.05318170514782863,-1.0582743419060816
ema,premkt,trigger,c20,3R,1087,-0.031118998885465293,0.2980680772769089,-0.0004829806807731927,-0.1871591191735013,836,-0.09515914634780011,0.28827751196172247,-0.047175837320574204,-0.4829553692729107
sma,rth,nextopen,c20,3R,1081,-0.03456584116185402,0.2849213691026827,-0.009663274745605873,-0.20133683369773828,951,-0.3955623265194403,0.259726603575184,-0.11322239747634069,-2.2302396096150603
sma,rth,trigger,pullback,trail,1040,-0.04513989202766979,0.3875,0.043877309940483555,-0.21506872371186178,905,-0.20173093833792238,0.35911602209944754,-0.01838575061960743,-0.8727097200529476
sma,rth,trigger,pullback,3R,1040,-0.05731125941342507,0.2971153846153846,0.05063639307799232,-0.1953716457698062,905,0.08008105548725615,0.2861878453038674,0.029613175506249027,0.21682057823717993
ema,rth,trigger,pullback,trail,1109,-0.060689519946225394,0.38954012623985573,0.03657417838214049,-0.30368723915595247,943,-0.2861231179255268,0.35737009544008486,-0.02238720914285471,-1.2665460856052042
ema,rth,nextopen,atr,3R,1072,-0.061590058731016556,0.27238805970149255,-0.02410102775290074,-0.26149051102061127,953,-0.01974706538700083,0.28751311647429173,-0.02321657162387125,-0.07109499956753446
sma,premkt,trigger,c20,1R,1019,-0.06420356880500355,0.48086359175662413,-0.024342983316977793,-0.5617624840374289,812,-0.059754449056105066,0.4815270935960591,-0.04336268472906419,-0.4493780887645009
sma,rth,nextopen,c20,eod,1081,-0.06831446783789298,0.19241443108233117,0.05622201665125013,-0.23870692753023007,951,-0.4516835623542936,0.17770767613038907,-0.12537592008412082,-1.5988551074976198
ema,premkt,nextopen,c20,eod,1128,-0.07172796992140636,0.19060283687943264,0.012881648936171388,-0.27321372306384656,875,0.24513841509252426,0.19085714285714286,0.0017800000000012881,0.33424378022741286
sma,rth,nextopen,pullback,trail,1021,-0.07367533234147115,0.366307541625857,0.029347316790857142,-0.34656258801539436,913,-0.29371427355045904,0.3428258488499452,-0.06416193142240677,-1.3008608038655647
ema,rth,trigger,atr,trail,1033,-0.07543347966658567,0.4046466602129719,0.00038612451729847983,-0.4441849757759753,910,-0.0411105087523346,0.36153846153846153,-0.019951646361586656,-0.2007210986819125
sma,premkt,trigger,pullback,1R,1019,-0.07565567253008841,0.5191364082433758,0.04691192661372351,-0.4213030104560338,812,-0.3542657475885463,0.4630541871921182,-0.021963823919683448,-1.5872579155192719
ema,premkt,trigger,c20,1R,1087,-0.07850615075471704,0.47470101195952163,-0.044977000919963574,-0.7181358065056459,836,-0.05924436236867267,0.4868421052631579,-0.030208133971291882,-0.4433504960571204
ema,rth,trigger,c20,eod,1109,-0.0888039070999305,0.20468890892696123,-0.03183137962127972,-0.3107818469482014,943,0.45588925622325727,0.16967126193001061,0.05870890774125209,0.6086559026255268
ema,rth,trigger,c20,2R,1109,-0.08960200857946242,0.3507664562669071,-0.057152389540126546,-0.6087932093938077,943,-0.2655683723546303,0.344644750795334,-0.00459013785790058,-1.6186291497583034
sma,premkt,nextopen,c20,eod,1059,-0.09215507940994447,0.19452313503305005,0.02278328611898147,-0.34974965084189386,853,-0.3457354519325289,0.19226260257913247,-0.10510199296600108,-1.255616868078022
ema,rth,trigger,c20,1R,1109,-0.09325369914219844,0.478809738503156,-0.05897926059513103,-0.8245820484352612,943,-0.0901310085825442,0.48250265111346763,0.011402969247083429,-0.6807534408871049
sma,rth,trigger,pullback,1R,1040,-0.09737419834994343,0.5086538461538461,0.02702184510936335,-0.5176651047931133,905,-0.18740121923310038,0.47845303867403316,0.00925815096465611,-0.8428846001814951
sma,rth,trigger,c20,eod,1040,-0.10286017551156455,0.20192307692307693,-0.030554326923076205,-0.34063513253762306,905,-0.21597838599396837,0.17016574585635358,-0.09394143646408748,-0.5779266688661283
ema,rth,nextopen,pullback,2R,1096,-0.10340954112857394,0.3521897810218978,0.020265042605263232,-0.4097060545864569,948,0.10294011190050828,0.35232067510548526,-0.009773149570991629,0.31316545313626676
ema,rth,nextopen,c20,eod,1150,-0.10754378598963991,0.19217391304347825,0.024777826086957697,-0.39809242891932295,988,0.002251856011098498,0.17408906882591094,-0.051017206477731614,0.003395973816679087
sma,rth,trigger,atr,trail,1011,-0.10840290704006912,0.40158259149357073,-0.0012395963426209305,-0.642612647495675,890,0.016380933619324214,0.36292134831460676,-0.013254741784141915,0.07881669012084307
ema,premkt,nextopen,c20,3R,1128,-0.11740832767818828,0.274822695035461,-0.05238430851063827,-0.7383411999452235,875,-0.26205641713191813,0.27085714285714285,-0.0832902857142857,-1.4596361017426318
