symbol,signal_ts,entry_ts,exit_ts,direction,entry_px,exit_px,stop_px,target_px,risk_per_share,r,ret_pct,bars_held,reason
AMZN,2021-01-15 10:35:00,2021-01-15 10:40:00,2021-01-15 11:05:00,1,3109.2,3096.0,3096.0,3135.5999999999995,13.199999999999818,-1.0,-0.42454650714009456,5,stop
AMD,2021-01-15 10:30:00,2021-01-15 10:45:00,2021-01-15 10:45:00,1,88.91,89.10999999999999,88.81,89.10999999999999,0.09999999999999432,2.0,0.22494657518838,0,target
QQQ,2021-01-15 10:35:00,2021-01-15 10:55:00,2021-01-15 11:05:00,1,312.025,310.81,310.81,314.4549999999999,1.214999999999975,-1.0,-0.3893918756509815,2,stop
IWM,2021-01-15 10:35:00,2021-01-15 11:00:00,2021-01-15 11:00:00,1,209.745,210.33500000000004,209.45,210.33500000000004,0.2950000000000159,2.0,0.2812939521800433,0,target
MSFT,2021-01-15 10:35:00,2021-01-15 11:00:00,2021-01-15 15:55:00,1,212.775,212.58,212.03,214.26500000000001,0.7450000000000045,-0.26174496644294226,-0.09164610504053257,59,flatten
SPY,2021-01-15 10:35:00,2021-01-15 11:00:00,2021-01-15 13:15:00,1,374.86505,377.19515,373.7,377.19515,1.165050000000008,2.0,0.6215836872495891,27,target
GOOGL,2021-01-15 11:05:00,2021-01-15 11:15:00,2021-01-15 11:25:00,-1,1720.1125,1726.7497,1726.7497,1706.8380999999997,6.637200000000121,-1.0,-0.38585848309340937,2,stop
MSFT,2021-01-19 10:35:00,2021-01-19 10:40:00,2021-01-19 12:15:00,-1,213.47995,214.605,214.605,211.22985000000003,1.1250499999999874,-1.0,-0.5270049950826705,19,stop
AMD,2021-01-19 10:40:00,2021-01-19 10:45:00,2021-01-19 11:10:00,-1,87.78515,88.3,88.3,86.75545000000001,0.5148499999999956,-1.0,-0.5864887170552144,5,stop
META,2021-01-19 10:35:00,2021-01-19 10:45:00,2021-01-19 11:35:00,1,254.515,256.66499999999996,253.44,256.66499999999996,1.0749999999999886,2.0,0.8447439247195558,10,target
AAPL,2021-01-19 10:45:00,2021-01-19 10:50:00,2021-01-19 11:50:00,1,127.17,127.634,126.938,127.634,0.23199999999999932,2.0,0.3648659274986228,12,target
QQQ,2021-01-19 10:45:00,2021-01-19 10:50:00,2021-01-19 11:10:00,1,314.015,313.51,313.51,315.025,0.5049999999999955,-1.0,-0.16082034297724487,4,stop
SPY,2021-01-19 10:45:00,2021-01-19 10:55:00,2021-01-19 11:15:00,1,377.78999999999996,377.04,377.04,379.28999999999985,0.7499999999999432,-1.0,-0.1985229889621068,4,stop
IWM,2021-01-19 10:35:00,2021-01-19 11:30:00,2021-01-19 15:55:00,1,212.405,213.43,211.72,213.775,0.6850000000000023,1.496350364963507,0.4825686777618256,53,flatten
NVDA,2021-01-19 11:10:00,2021-01-19 11:30:00,2021-01-19 14:50:00,-1,516.50375,520.93,520.93,507.65125,4.426249999999982,-1.0,-0.856963768414069,40,stop
GOOGL,2021-01-19 10:55:00,2021-01-19 11:35:00,2021-01-19 11:50:00,-1,1741.43575,1749.34,1749.34,1725.6272500000005,7.90424999999982,-1.0,-0.4538927146752224,3,stop
NVDA,2021-01-20 10:45:00,2021-01-20 11:00:00,2021-01-20 11:30:00,-1,532.365,528.9750000000001,534.06,528.9750000000001,1.6949999999999363,2.0,0.63678115578595,6,target
AMZN,2021-01-20 11:00:00,2021-01-20 11:05:00,2021-01-20 11:20:00,1,3219.48,3232.93,3212.755,3232.93,6.724999999999909,2.0,0.41776932920843796,3,target
AAPL,2021-01-20 10:45:00,2021-01-20 11:05:00,2021-01-20 15:55:00,1,131.305,131.97,129.8,134.315,1.5049999999999955,0.44186046511627514,0.5064544381402019,58,flatten
QQQ,2021-01-20 11:05:00,2021-01-20 11:10:00,2021-01-20 11:20:00,-1,322.34749999999997,322.85,322.85,321.34249999999986,0.5025000000000546,-1.0,-0.155887667811928,2,stop
SPY,2021-01-20 11:00:00,2021-01-20 11:20:00,2021-01-20 12:00:00,-1,382.82,383.082,383.082,382.296,0.26200000000000045,-1.0,-0.06843947547150109,8,stop
