start,end,plain_terminal,ovl_terminal,plain_irr,ovl_irr,plain_dd,ovl_dd,ratio,beat,n_triggers,months_saving
1984-01-31,2013-12-31,1869295.0405365825,1889311.3424911555,0.09489197938919691,0.09544592396178575,-0.501511939555987,-0.4827344082082603,1.0107079415076323,True,1,133
1984-02-29,2014-01-31,1787092.7264998367,1806414.6360124948,0.0925482369050401,0.09310941503127768,-0.5014223827192469,-0.4824318100193349,1.010811923313292,True,1,133
1984-03-31,2014-02-28,1849746.520659184,1869949.6349480336,0.09434479838522614,0.09491019560180636,-0.5013276605177719,-0.4821115947380319,1.0109220988190586,True,1,133
1984-04-30,2014-03-31,1846273.9463730794,1866643.2481076596,0.09424694829996305,0.09481811452028222,-0.5012323243954109,-0.4817891335212212,1.011032654051472,True,1,133
1984-05-31,2014-04-30,1840945.7886555367,1861462.5801586371,0.09409642647896166,0.0946734829211997,-0.5011354504881285,-0.48146129557624295,1.0111447016145347,True,1,133
1984-06-30,2014-05-31,1863631.7457716744,1884627.5863231337,0.09473409327113025,0.095316869006415,-0.5010306399970412,-0.481106399597684,1.01126608869971,True,1,133
1984-07-31,2014-06-30,1881621.176385957,1903048.0019051223,0.09523384968071191,0.09582244948132845,-0.5009255730735986,-0.48075042726996464,1.0113874279201724,True,1,133
1984-08-31,2014-07-31,1835220.7378458746,1856350.1501481556,0.09393416962449641,0.09453033191776017,-0.5008162944173391,-0.48037996417349604,1.01151328113646,True,1,133
1984-09-30,2014-08-31,1889491.4496010703,1911463.3295124518,0.09545087972720023,0.09605167852183527,-0.5007156590814168,-0.48003860293907086,1.011628462206601,True,1,133
1984-10-31,2014-09-30,1844074.1498819785,1865734.435458254,0.09418486013536986,0.09479277389197671,-0.5006127037349695,-0.47968917380155296,1.0117458864534605,True,1,133
1984-11-30,2014-10-31,1869712.8518052388,1891898.0075785618,0.0949036071334104,0.09551704915523285,-0.5005076181566808,-0.47933230769448565,1.0118655416803188,True,1,133
1984-12-31,2014-11-30,1900073.886573966,1922854.1362665892,0.09574117603550936,0.09636024009219502,-0.5003989665439768,-0.4789631114198456,1.0119891388716986,True,1,133
1985-01-31,2014-12-31,1875541.9174390538,1898264.3968342082,0.09506554046474669,0.09569166143341867,-0.5002878465585034,-0.4785852960261464,1.0121151541236575,True,1,133
1985-02-28,2015-01-31,1801371.892422559,1823409.9092280597,0.092963580726096,0.09359770634748643,-0.5001821410692653,-0.478225672693514,1.0122340183602305,True,1,133
1985-03-31,2015-02-28,1886184.183980549,1909485.8243657954,0.09535979723030019,0.09599790975824396,-0.5000755144750123,-0.4778627005155681,1.0123538520697757,True,1,133
1985-04-30,2015-03-31,1838039.8358073565,1860971.1139705428,0.09401413513410706,0.09465973994041454,-0.49996646857805227,-0.47749126901156824,1.0124759418791998,True,1,133
1985-05-31,2015-04-30,1837082.814381261,1860231.7336825759,0.09398700340055077,0.09463905713596099,-0.49985459258922793,-0.4771099623857564,1.0126009122289414,True,1,133
1985-06-30,2015-05-31,1842929.9129158298,1866373.4149108964,0.09415253314047267,0.094810592083445,-0.4997466913337847,-0.47674197688077835,1.012720777839009,True,1,133
1985-07-31,2015-06-30,1790350.688225264,1813340.5128324644,0.09264331629774447,0.09330899655767588,-0.4996379686712662,-0.47637096544457247,1.0128409616944878,True,1,133
1985-08-31,2015-07-31,1810266.6018225222,1833734.6795989976,0.09322051770562956,0.09389196347329154,-0.4995265853250259,-0.4759906405171713,1.0129638793274143,True,1,133
1985-09-30,2015-08-31,1684560.4521370549,1706610.6833843645,0.08945656547319869,0.09013827770985428,-0.4994119235261487,-0.4755988734799462,1.0130896051960239,True,1,133
1985-10-31,2015-09-30,1626028.465227603,1647527.8889512469,0.08759912393599478,0.08828966505007707,-0.49929079040320934,-0.47518472258494315,1.0132220463438408,True,1,133
1985-11-30,2015-10-31,1745858.7908429094,1769169.0477703046,0.09132848637927515,0.09202179725951054,-0.49917204415537875,-0.4747784596573891,1.01335174244885,True,1,133
1985-12-31,2015-11-30,1734862.0251315928,1758239.0416243465,0.0909979402976615,0.09169794250674546,-0.49905852285587116,-0.4743898200135367,1.013474856302178,True,1,133
1986-01-31,2015-12-31,1690958.3333301777,1713960.738527415,0.08965535243111944,0.09036340304584023,-0.49893986388984657,-0.4739833273233349,1.013603176816271,True,1,133
1986-02-28,2016-01-31,1591624.0901939257,1613481.7493979966,0.08647324997522499,0.08719155205356843,-0.49881905134248483,-0.4735691792718658,1.013732928107043,True,1,133
1986-03-31,2016-02-29,1575292.9215715744,1597118.8355049684,0.08592954707679068,0.08665482383081335,-0.49870428353272644,-0.47317549285274263,1.0138551463251797,True,1,133
1986-04-30,2016-03-31,1667859.7958369176,1691165.0406993374,0.08893379494180831,0.08966176142750482,-0.4985932127596089,-0.4727942470028812,1.0139731438581294,True,1,133
1986-05-31,2016-04-30,1659623.26987672,1683015.60539746,0.08867388442548974,0.08940844366622613,-0.49847830647640723,-0.472399585873426,1.0140949671803998,True,1,133
1986-06-30,2016-05-31,1675282.2870136364,1699091.6894843844,0.08916683194061448,0.08990689223000015,-0.4983671177086316,-0.47201745073714885,1.014212173467906,True,1,133
1986-07-31,2016-06-30,1665793.3397039887,1689662.9154569877,0.0888687168056701,0.08961516850387818,-0.49825557602735215,-0.4716338630090561,1.0143292539260846,True,1,133
1986-08-31,2016-07-31,1711839.5622435182,1736586.665942891,0.09029854053105946,0.09104992952023339,-0.4981348055226714,-0.47121826674626355,1.0144564387020822,True,1,133
1986-09-30,2016-08-31,1699965.5564262674,1724744.7057694148,0.08993384086506206,0.09069182703023548,-0.4980200894221056,-0.47082324379980056,1.0145762655304846,True,1,133
1986-10-31,2016-09-30,1684752.4147122018,1709535.1531849918,0.08946254175563251,0.09022797663125437,-0.4978923566547391,-0.4703830985092716,1.014710018075281,True,1,133
1986-11-30,2016-10-31,1639573.2153893965,1663901.6625730984,0.08803531133152309,0.08880906634961061,-0.49776882591940375,-0.46995713204304757,1.0148382804472222,True,1,133
1986-12-31,2016-11-30,1685754.8112890807,1710983.178466219,0.08949373695983698,0.09027232896278403,-0.4976458487983355,-0.4695327806278291,1.0149656207463804,True,1,133
1987-01-31,2016-12-31,1702315.3855478088,1728038.508874565,0.09000623164476029,0.09079169771033357,-0.4975063810160686,-0.46905117034393584,1.0151106684138194,True,1,133
1987-02-28,2017-01-31,1719631.830057602,1745839.3499508577,0.09053639230365262,0.0913279039983721,-0.4973805315908988,-0.4686162625024216,1.015240192368606,True,1,133
1987-03-31,2017-02-28,1773036.4767259296,1800282.5311234791,0.09213587271776902,0.0929320190964198,-0.49725699904437637,-0.4681890615762998,1.0153668888120462,True,1,133
