label,leg,n,mean_bps,ann_ret_arith_pct,ann_ret_geom_pct,ann_vol_pct,sharpe,t,p,win_rate,start,end,symbol,period
MMM|full,overnight,9239,2.2787596856071612,5.742474407730047,5.100807249337266,12.378088462268714,0.46392255356991857,2.8090385505898596,0.004968969611693019,0.5344734278601581,1990-01-03,2026-09-10,MMM,full
MMM|full,intraday,9239,2.4563685351083326,6.1900487084729985,4.214188364968962,20.31586257267133,0.304690420420533,1.8448922786154585,0.06505321010987153,0.49821409243424614,1990-01-03,2026-09-10,MMM,full
MMM|full,total,9239,4.756537658505278,11.9864748994333,9.529953239927288,24.039185656049572,0.4986223356703786,3.019144795408522,0.0025348934851581184,0.5077389327849334,1990-01-03,2026-09-10,MMM,full
MRK|full,overnight,9239,0.9857396884474267,2.4840640148875153,1.4380744149821905,14.342461614241039,0.17319649037240703,1.0487000783626124,0.2943161781830659,0.5285204026409784,1990-01-03,2026-09-10,MRK,full
MRK|full,intraday,9239,4.353987198022547,10.97204773901682,8.838226308944307,22.38153078698054,0.4902277616059809,2.968315875837314,0.0029943643914753793,0.4946422773027384,1990-01-03,2026-09-10,MRK,full
MRK|full,total,9239,5.326700664333353,13.42328567412005,10.403400995213618,26.462136573451083,0.5072638649891694,3.071469022385078,0.002130082654035581,0.5013529602770863,1990-01-03,2026-09-10,MRK,full
MSFT|full,overnight,9239,4.685962172362048,11.808624674352359,10.894060766296446,17.11705971924401,0.6898745969248683,4.1771720795258425,2.9515573322758115e-05,0.5349063751488257,1990-01-03,2026-09-10,MSFT,full
MSFT|full,intraday,9239,5.019779936841021,12.649845440839375,9.691822541379908,26.108431891351792,0.4845118808161563,2.9337063718034178,0.0033494090554555545,0.49886351336724755,1990-01-03,2026-09-10,MSFT,full
MSFT|full,total,9239,9.728883977646,24.51678762366792,21.64171634469587,31.4070928407233,0.780613084694002,4.726591175890832,2.28320297668283e-06,0.5086048273622686,1990-01-03,2026-09-10,MSFT,full
NFLX|full,overnight,6113,8.812427086871699,22.20731625891668,17.55220821450208,34.12261982118448,0.6508092395979992,3.20538822734338,0.0013488042076181816,0.5256011778177654,2002-05-24,2026-09-10,NFLX,full
NFLX|full,intraday,6113,7.8519058951446485,19.786802855764517,10.998813751089285,43.43537099397265,0.45554584669048304,2.2436701957378533,0.024853629109328423,0.49304760346801896,2002-05-24,2026-09-10,NFLX,full
NFLX|full,total,6113,16.466963602870166,41.49674827923282,30.481556656307763,54.30458412764673,0.76414816439238,3.7636090286646247,0.00016747865800859074,0.5046621953214461,2002-05-24,2026-09-10,NFLX,full
NKE|full,overnight,9239,0.6098133526020266,1.536729648557107,-0.1482530204334354,18.25482012004626,0.08418213044288343,0.5097205295693925,0.610247268190589,0.5212685355557961,1990-01-03,2026-09-10,NKE,full
NKE|full,intraday,9239,5.9693896410875364,15.042861895540591,11.966311415613676,27.38117515721539,0.5493870080143931,3.3265235174065855,0.0008793659909505092,0.4989717501894144,1990-01-03,2026-09-10,NKE,full
NKE|full,total,9239,6.577681475226138,16.575757317569867,11.800317977072131,32.90759986028703,0.5037060553776069,3.0499265811357072,0.002288973141496786,0.4987552765450806,1990-01-03,2026-09-10,NKE,full
NVDA|full,overnight,6950,15.66203236532374,39.46832156061582,40.52016176478968,32.792467726967494,1.203578879431459,6.320722007414565,2.6034396860552533e-10,0.5602877697841726,1999-01-25,2026-09-10,NVDA,full
NVDA|full,intraday,6950,3.8896088097783417,9.801814200641422,-2.5516624632925904,50.0535262795153,0.1958266465764046,1.0284043828007057,0.30375964774025,0.49928057553956834,1999-01-25,2026-09-10,NVDA,full
NVDA|full,total,6950,19.38205103466231,48.842768607349015,36.93456154367951,59.192996402954144,0.8251443849007689,4.333333163340754,1.4686859019397147e-05,0.5166906474820144,1999-01-25,2026-09-10,NVDA,full
ORCL|full,overnight,9239,6.91105049573225,17.41584724924527,14.983234393176096,26.293373729405197,0.6623663980316173,4.01061067708092,6.056190285930185e-05,0.5217014828444637,1990-01-03,2026-09-10,ORCL,full
ORCL|full,intraday,9239,3.4773993236194585,8.763046295521036,1.816699422206516,37.46081015375172,0.2339257015412789,1.4164138142169382,0.15665438167843115,0.4976729083234116,1990-01-03,2026-09-10,ORCL,full
ORCL|full,total,9239,10.33060311875544,26.03311985926371,17.072134148031264,45.502589065807236,0.5721239251158613,3.464194937276377,0.0005318209663549567,0.5018941443879208,1990-01-03,2026-09-10,ORCL,full
PEP|full,overnight,9239,-3.102772699631577,-7.818987203071575,-8.231932515878901,12.395905002452885,-0.6307717912911048,-3.8193061853249484,0.00013382756318103262,0.4792726485550384,1990-01-03,2026-09-10,PEP,full
