label,n_lag,mean_pct_lag,median_pct_lag,t_naive_lag,p_naive_lag,t_nw_lag,p_nw_lag,n_eff_lag,hit_rate_lag,quad,horizon_m,spec_lag,archetype_lag,preferred_lag,n_nolag,mean_pct_nolag,median_pct_nolag,t_naive_nolag,p_naive_nolag,t_nw_nolag,p_nw_nolag,n_eff_nolag,hit_rate_nolag,spec_nolag,archetype_nolag,preferred_nolag
IWO,37,10.027741974966846,12.44752361524224,6.367474507403323,1.9216583879710925e-10,5.126825004297626,2.946691708416438e-07,23.98635636930112,0.8648648648648649,Q2,12,lagged,D,False,38,12.095241225811897,13.562695912360734,7.164532274276812,7.80486786311485e-13,8.674640410340952,0.0,55.707141219924154,0.8947368421052632,nolag,D,False
QQQ,37,12.559602498610328,10.161283319869142,6.521118491034951,6.978506661425854e-11,3.9250134964510104,8.672487546590446e-05,13.404167611864608,0.8918918918918919,Q2,12,lagged,C,False,38,13.207385980474648,11.417811801861333,6.94291782055218,3.8409275759931916e-12,4.86555042711812,1.1413870359966438e-06,18.662228517813045,0.9210526315789473,nolag,C,False
SPY,37,9.87285500371049,10.544173748075568,6.389967372897914,1.6592105467339024e-10,4.834867812596599,1.332341404536308e-06,21.182326228137388,0.8648648648648649,Q2,12,lagged,B,True,38,11.816149626891988,12.874335701292273,8.683659361035563,0.0,9.114049473429448,0.0,41.86015214193108,0.8947368421052632,nolag,B,True
IWD,37,8.814536726712067,11.40579547724736,5.010066609159041,5.44111996569896e-07,2.819609085785995,0.00480821849651214,11.719053232824178,0.8108108108108109,Q2,12,lagged,A,False,38,11.896672356257199,12.959630912035658,7.882339757504446,3.1086244689504383e-15,4.948981367076173,7.460288773408763e-07,14.979762672415408,0.868421052631579,nolag,A,False
IWO,45,16.008305883111344,14.68136644755964,5.165528613193966,2.3976034535522217e-07,4.8188218480978415,1.4440842586171954e-06,39.16198638679502,0.8222222222222222,Q3,12,lagged,D,False,47,17.81818322624278,16.750981712636314,6.444948951015432,1.1563949797732676e-10,6.183022161915711,6.288587428571191e-10,43.25740879016907,0.851063829787234,nolag,D,False
QQQ,45,16.00978941737162,17.002830927559298,5.928684629665909,3.0537092854387993e-09,4.864404269923089,1.1480205381886321e-06,30.293896521191915,0.9333333333333333,Q3,12,lagged,C,True,47,18.880827177015206,18.473370783857092,7.172818367957705,7.347455976969286e-13,5.862939505791474,4.547439313995483e-09,31.401400419115195,0.9148936170212766,nolag,C,True
SPY,45,14.464001672423453,16.329785011844635,5.957095583745971,2.5676007986419336e-09,5.984933992845766,2.1647763581711388e-09,45.42156634438703,0.9555555555555556,Q3,12,lagged,B,False,47,15.775694555642566,16.80730751501276,7.1254891876237565,1.0371703496048212e-12,6.972393144040871,3.1159519409129643e-12,45.002042084974974,0.9361702127659575,nolag,B,False
IWD,45,16.23933826023568,16.573300856913974,6.057316047099187,1.3841148227555777e-09,6.574584510846768,4.8789194906362354e-11,53.0137676320272,0.8666666666666667,Q3,12,lagged,A,False,47,16.481689854762177,17.310512875999407,6.619996856075768,3.5920599827932165e-11,6.845071597336915,7.643663479939278e-12,50.25025635969519,0.851063829787234,nolag,A,False
IWO,73,11.177123127986965,10.868969889438084,7.369815336566483,1.709743457922741e-13,4.255559150290548,2.0852722512954003e-05,24.34013097729034,0.7808219178082192,Q4,12,lagged,D,False,72,10.264786536210842,9.55928926406795,6.719903284379263,1.8184564964940364e-11,3.78494134551907,0.0001537448352699755,22.841507265766822,0.7638888888888888,nolag,D,False
QQQ,73,22.69835678126962,23.73874357224537,14.615818062006632,0.0,6.991932707595887,2.7111646261346323e-12,16.70594638656455,0.9726027397260274,Q4,12,lagged,C,False,72,21.77368891379733,23.681408377531486,14.232241263452611,0.0,6.800692499101618,1.0411671524934718e-11,16.439635279106824,0.9583333333333334,nolag,C,False
SPY,73,15.049098669485506,15.86080007909767,13.114138736595226,0.0,6.861835686603078,6.7981176243847585e-12,19.985910624236595,0.9178082191780822,Q4,12,lagged,B,False,72,14.062821687793603,15.435845163268414,11.354807311772088,0.0,5.669714950853436,1.4303529471959564e-08,17.951279498122144,0.9027777777777778,nolag,B,False
IWD,73,9.312090523458304,10.830823466218398,7.829975302226442,4.884981308350689e-15,4.520556305646368,6.1677337324095305e-06,24.332450113948326,0.8493150684931506,Q4,12,lagged,A,True,72,8.271959411456102,9.646810719787158,6.638457770991417,3.169819962067777e-11,3.8880201783332047,0.00010106522645791927,24.69762106343622,0.8194444444444444,nolag,A,True
