symbol,period,n_days,round_trips_per_yr,round_trip_cost_bps,gross_mean_bps,net_mean_bps,net_ann_ret_geom_pct,net_sharpe,net_t,net_p
SPY,pre2015,5521,252,20,4.228847294753728,-15.771152705246276,-33.16395177768746,-3.9171429824412445,-18.33487812635945,0.0
QQQ,full,6918,252,0,5.558129995031362,5.558129995031362,13.86210686152605,0.9810430800775057,5.140177156220852,2.7447955464054985e-07
QQQ,full,6918,252,1,5.558129995031362,4.5581299950313605,11.029821018101307,0.8045371183683515,4.215373821139472,2.4936478482562308e-05
QQQ,full,6918,252,2,5.558129995031362,3.5581299950313636,8.267714784741846,0.628031156659198,3.2905704860580953,0.0009998444908096982
QQQ,full,6918,252,3,5.558129995031362,2.558129995031359,5.57405597780194,0.45152519495004334,2.3657671509767124,0.017992756779399155
QQQ,full,6918,252,5,5.558129995031362,0.5581299950313583,0.38536380165731515,0.09851327153173521,0.5161604808139536,0.6057423291367434
QQQ,full,6918,252,8,5.558129995031362,-2.4418700049686386,-6.925229681454089,-0.4310046135957261,-2.258249524430181,0.02393010724007416
QQQ,full,6918,252,10,5.558129995031362,-4.441870004968643,-11.501845397192554,-0.7840165370140348,-4.107856194592943,3.993486119657774e-05
QQQ,full,6918,252,20,5.558129995031362,-14.441870004968644,-31.233068224984308,-2.549076154105575,-13.355889545406734,0.0
QQQ,2021_2026,1428,252,0,4.179653910946465,4.179653910946465,10.128842676953306,0.7927201823337282,1.887051481999253,0.05915340155238047
QQQ,2021_2026,1428,252,1,4.179653910946465,3.179653910946466,7.38907785626658,0.603058502389941,1.4355663776806669,0.15112576777122766
QQQ,2021_2026,1428,252,2,4.179653910946465,2.1796539109464677,4.717208618637551,0.4133968224461537,0.9840812733620811,0.325075553700064
QQQ,2021_2026,1428,252,3,4.179653910946465,1.1796539109464623,2.1115589452195866,0.22373514250236515,0.532596169043492,0.5943131546125446
QQQ,2021_2026,1428,252,5,4.179653910946465,-0.8203460890535391,-2.907580736224755,-0.15558821738521014,-0.37037403959368154,0.7111038140455164
QQQ,2021_2026,1428,252,8,4.179653910946465,-3.820346089053537,-9.979227653397082,-0.7245732572165723,-1.72482935254944,0.08455823029882126
QQQ,2021_2026,1428,252,10,4.179653910946465,-5.82034608905354,-14.406221400820282,-1.1038966171041478,-2.6277995611866145,0.008593913710214673
QQQ,2021_2026,1428,252,20,4.179653910946465,-15.82034608905354,-33.49202423202656,-3.0005134165420233,-7.142650604372478,9.15489906105904e-13
QQQ,last3y,753,252,0,7.915764282395099,7.915764282395099,21.042230733270554,1.5366876804115377,2.6563348940143174,0.00789951225103147
QQQ,last3y,753,252,1,7.915764282395099,6.915764282395098,18.03208391422057,1.3425576348985377,2.320759604092902,0.020299821833449805
QQQ,last3y,753,252,2,7.915764282395099,5.9157642823950995,15.096505431716603,1.1484275893855385,1.9851843141714876,0.04712396883139003
