draw_mean_R,draw_win_rate
-0.17505207753265548,0.3339530167314517
-0.1762843385915533,0.3322629711002197
-0.17149911893784586,0.3361500760520534
-0.17730628466169984,0.33344600304208216
-0.18429282566183777,0.328375866148386
-0.16872117901072553,0.3326009802264661
-0.1712323233737463,0.3332769984789589
-0.1869906132671249,0.3326009802264661
-0.17433556741620126,0.33310799391583573
-0.18466816790296015,0.32922088896400203
-0.19982305670513054,0.32465776575967553
-0.17219772946993644,0.3322629711002197
-0.17171254684603,0.3351360486733142
-0.15856785413404473,0.3417272266351192
-0.17472802718109384,0.32972790265337165
-0.16710809389404613,0.3361500760520534
-0.19914331599222998,0.32398174750718267
-0.18691461291723577,0.32753084333277
-0.1776566587142804,0.3309109345952341
-0.1865842665004278,0.32989690721649484
-0.15417787077853104,0.3353050532364374
-0.15865809451835866,0.33868514449890147
-0.16713246684610564,0.3351360486733142
-0.17256578283611193,0.33429102585769815
-0.17131094978048525,0.3339530167314517
-0.14976057108042157,0.3363190806151766
-0.1674002494352182,0.33378401216832854
-0.16450111949191476,0.33834713537265504
-0.16751851265996842,0.33429102585769815
-0.1574164691731636,0.33750211255703905
-0.17561578326553473,0.33344600304208216
-0.1932219418253212,0.32719283420652356
-0.17623347208640802,0.3288828798377556
-0.19134520268682015,0.330065911779618
-0.17828282373798426,0.336657089741423
-0.15112700921525374,0.34189623119824236
-0.15654149241882193,0.335812066925807
-0.1638595267085209,0.3319249619739733
-0.17578854227377436,0.3324319756633429
-0.17893801124502845,0.335812066925807
-0.16304089674736,0.33446003042082134
-0.19007400345905648,0.32989690721649484
-0.16671023243211838,0.3353050532364374
-0.16925242727851064,0.33023491634274127
-0.19314372306930486,0.3282068615852628
-0.1703873176811787,0.3356430623626838
-0.17100289356012383,0.34122021294574956
-0.1702311336755308,0.33361500760520535
-0.17235683953775457,0.3312489437214805
-0.1938953808700821,0.32516477944904515
-0.15729974386602075,0.3400371810038871
-0.191001885036778,0.32634781139090757
-0.17896647447286043,0.3339530167314517
-0.16884418463663994,0.33412202129457497
-0.17574721239130056,0.33496704411019096
-0.15348923328176886,0.3364880851782998
-0.17533251727298502,0.33175595741085007
-0.21035838561986014,0.3244887611965523
-0.18821234638720752,0.32584079770153795
-0.15794191266055643,0.33868514449890147
-0.17344121005873203,0.33750211255703905
-0.1586559532143734,0.33750211255703905
-0.17163510179057354,0.3353050532364374
-0.1689270559698831,0.3346290349839446
-0.16964325138274916,0.3400371810038871
-0.165130916525704,0.33378401216832854
-0.16918246977510742,0.3361500760520534
-0.17754366484622883,0.335812066925807
